Go term	Row Labels	Day 5- 23C (Silo 9)	Day 5- 29C (Silo 8)	Day 8- 23C (Silo 9)	Day 8- 29C (Silo 8)	term	GOSlim_bin	aspect	clean												
GO:0003735	CGI_10009876	3819325580	7583568489	6641877021	7642803987	structural constituent of ribosome	other molecular function	F	1												
GO:0005840	CGI_10009876	3819325580	7583568489	6641877021	7642803987	ribosome	translational apparatus	C	1												
GO:0006412	CGI_10009876	3819325580	7583568489	6641877021	7642803987	translation	protein metabolism	P	1												
GO:0004017	CGI_10010021	803722432	2533974862	1730354866	2447970610	adenylate kinase activity	kinase activity	F	1												
GO:0005524	CGI_10010021	803722432	2533974862	1730354866	2447970610	ATP binding	other molecular function	F	1												
GO:0005758	CGI_10010021	803722432	2533974862	1730354866	2447970610	mitochondrial intermembrane space	mitochondrion	C	1												
GO:0005829	CGI_10010021	803722432	2533974862	1730354866	2447970610	cytosol	cytosol	C	1												
GO:0006172	CGI_10010021	803722432	2533974862	1730354866	2447970610	ADP biosynthetic process	other metabolic processes	P	1												
GO:0046033	CGI_10010021	803722432	2533974862	1730354866	2447970610	AMP metabolic process	other metabolic processes	P	1												
GO:0046034	CGI_10010021	803722432	2533974862	1730354866	2447970610	ATP metabolic process	other metabolic processes	P	1												
GO:0004611	CGI_10010066	865678186	1863421656	1237887243	1523736137	phosphoenolpyruvate carboxykinase activity	other molecular function	F	1												
GO:0005525	CGI_10010066	865678186	1863421656	1237887243	1523736137	GTP binding	other molecular function	F	1												
GO:0006094	CGI_10010066	865678186	1863421656	1237887243	1523736137	gluconeogenesis	other metabolic processes	P	1												
GO:0016301	CGI_10010066	865678186	1863421656	1237887243	1523736137	kinase activity	kinase activity	F	1												
GO:0003924	CGI_10010163	17929389371	93094280515	40724190228	83891073124	GTPase activity	other molecular function	F	1												
GO:0005200	CGI_10010163	17929389371	93094280515	40724190228	83891073124	structural constituent of cytoskeleton	cytoskeletal activity	F	1												
GO:0005525	CGI_10010163	17929389371	93094280515	40724190228	83891073124	GTP binding	other molecular function	F	1												
GO:0005737	CGI_10010163	17929389371	93094280515	40724190228	83891073124	cytoplasm	other cellular component	C	1												
GO:0005874	CGI_10010163	17929389371	93094280515	40724190228	83891073124	microtubule	cytoskeleton	C	1												
GO:0007017	CGI_10010163	17929389371	93094280515	40724190228	83891073124	microtubule-based process	other biological processes	P	1												
GO:0008234	CGI_10010480	1179715508	2056098643	1448126088	1680830392	cysteine-type peptidase activity	other molecular function	F	1												
GO:0016021	CGI_10010480	1179715508	2056098643	1448126088	1680830392	integral to membrane	other membranes	C	1												
GO:0003735	CGI_10010529	2302221461	8475559255	5100351571	6766911778	structural constituent of ribosome	other molecular function	F	1												
GO:0005840	CGI_10010529	2302221461	8475559255	5100351571	6766911778	ribosome	translational apparatus	C	1												
GO:0006412	CGI_10010529	2302221461	8475559255	5100351571	6766911778	translation	protein metabolism	P	1												
GO:0004630	CGI_10010622	2166375234	4251977848	3044975700	3587418852	phospholipase D activity	other molecular function	F	1												
GO:0005622	CGI_10010622	2166375234	4251977848	3044975700	3587418852	intracellular	other cellular component	C	1												
GO:0006654	CGI_10010622	2166375234	4251977848	3044975700	3587418852	phosphatidic acid biosynthetic process	other metabolic processes	P	1												
GO:0035091	CGI_10010622	2166375234	4251977848	3044975700	3587418852	phosphoinositide binding	other molecular function	F	1												
GO:0048017	CGI_10010622	2166375234	4251977848	3044975700	3587418852	inositol lipid-mediated signaling	signal transduction	P	1												
GO:0005524	CGI_10010646	1721779663	6188360434	2802851066	5796289255	ATP binding	other molecular function	F	1												
GO:0005524	CGI_10010647	1721779663	6188360434	2802851066	5796289255	ATP binding	other molecular function	F	1												
GO:0005840	CGI_10010682	2201243891	7919928172	6044899654	6512867735	ribosome	translational apparatus	C	1												
GO:0042254	CGI_10010682	2201243891	7919928172	6044899654	6512867735	ribosome biogenesis	other biological processes	P	1												
GO:0008641	CGI_10010841	1106801353	2122174338	1769339552	1973238883	small protein activating enzyme activity	other molecular function	F	1												
GO:0005198	CGI_10010873	18910484062	40023402401	28978325512	48122337867	structural molecule activity	other molecular function	F	1												
GO:0005882	CGI_10010873	18910484062	40023402401	28978325512	48122337867	intermediate filament	cytoskeleton	C	1												
GO:0005576	CGI_10010936	758622240	1457606816	1424594544	1777647799	extracellular region	non-structural extracellular	C	1												
GO:0005581	CGI_10010936	758622240	1457606816	1424594544	1777647799	collagen	extracellular matrix	C	1												
GO:0006030	CGI_10010936	758622240	1457606816	1424594544	1777647799	chitin metabolic process	other metabolic processes	P	1												
GO:0008061	CGI_10010936	758622240	1457606816	1424594544	1777647799	chitin binding	other molecular function	F	1												
GO:0004365	CGI_10010974	10171122142	33982737087	19896956095	34165004335	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating) activity	other molecular function	F	1												
GO:0006006	CGI_10010974	10171122142	33982737087	19896956095	34165004335	glucose metabolic process	other metabolic processes	P	1												
GO:0006096	CGI_10010974	10171122142	33982737087	19896956095	34165004335	glycolysis	other metabolic processes	P	1												
GO:0050661	CGI_10010974	10171122142	33982737087	19896956095	34165004335	NADP or NADPH binding	other molecular function	F	1												
GO:0051287	CGI_10010974	10171122142	33982737087	19896956095	34165004335	NAD or NADH binding	other molecular function	F	1												
GO:0005509	CGI_10011029	3929517507	14276228412	6697181800	13144331058	calcium ion binding	other molecular function	F	1												
GO:0007156	CGI_10011029	3929517507	14276228412	6697181800	13144331058	homophilic cell adhesion	cell adhesion	P	1												
GO:0016021	CGI_10011029	3929517507	14276228412	6697181800	13144331058	integral to membrane	other membranes	C	1												
GO:0005524	CGI_10011081	5537594461	25560619916	10624386010	20941273319	ATP binding	other molecular function	F	1												
GO:0005737	CGI_10011081	5537594461	25560619916	10624386010	20941273319	cytoplasm	other cellular component	C	1												
GO:0042026	CGI_10011081	5537594461	25560619916	10624386010	20941273319	protein refolding	protein metabolism	P	1												
GO:0003735	CGI_10011113	1244460553	1928352733	1592688089	1743903261	structural constituent of ribosome	other molecular function	F	1												
GO:0005840	CGI_10011113	1244460553	1928352733	1592688089	1743903261	ribosome	translational apparatus	C	1												
GO:0006412	CGI_10011113	1244460553	1928352733	1592688089	1743903261	translation	protein metabolism	P	1												
GO:0019843	CGI_10011113	1244460553	1928352733	1592688089	1743903261	rRNA binding	nucleic acid binding activity	F	1												
GO:0016021	CGI_10011187	2150543196	3871429084	2871466419	3201458836	integral to membrane	other membranes	C	1												
GO:0022857	CGI_10011187	2150543196	3871429084	2871466419	3201458836	transmembrane transporter activity	transporter activity	F	1												
GO:0009055	CGI_10011511	1256922331	2867682843	1889384697	2851339100	electron carrier activity	other molecular function	F	1												
GO:0003735	CGI_10011577	10919265018	17536599781	15671646883	14507642218	structural constituent of ribosome	other molecular function	F	1												
GO:0005840	CGI_10011577	10919265018	17536599781	15671646883	14507642218	ribosome	translational apparatus	C	1												
GO:0006414	CGI_10011577	10919265018	17536599781	15671646883	14507642218	translational elongation	protein metabolism	P	1												
GO:0003756	CGI_10011652	6931918878	19080154799	9562560885	16878195973	protein disulfide isomerase activity	other molecular function	F	1												
GO:0005783	CGI_10011652	6931918878	19080154799	9562560885	16878195973	endoplasmic reticulum	ER/Golgi	C	1												
GO:0045454	CGI_10011652	6931918878	19080154799	9562560885	16878195973	cell redox homeostasis	other biological processes	P	1												
GO:0008483	CGI_10011934	728165516	2257805728	1241364968	1722754905	transaminase activity	other molecular function	F	1												
GO:0030170	CGI_10011934	728165516	2257805728	1241364968	1722754905	pyridoxal phosphate binding	other molecular function	F	1												
GO:0001726	CGI_10011964	830038898	1621362137	1298922609	1919896172	ruffle	other cellular component	C	1												
GO:0005200	CGI_10011964	830038898	1621362137	1298922609	1919896172	structural constituent of cytoskeleton	cytoskeletal activity	F	1												
GO:0005856	CGI_10011964	830038898	1621362137	1298922609	1919896172	cytoskeleton	cytoskeleton	C	1												
GO:0005925	CGI_10011964	830038898	1621362137	1298922609	1919896172	focal adhesion	other membranes	C	1												
GO:0005925	CGI_10011964	830038898	1621362137	1298922609	1919896172	focal adhesion	plasma membrane	C	1												
GO:0007016	CGI_10011964	830038898	1621362137	1298922609	1919896172	cytoskeletal anchoring at plasma membrane	cell organization and biogenesis	P	1												
GO:0005509	CGI_10012156	1793115201	1763041006	1360495519	1769467054	calcium ion binding	other molecular function	F	1												
GO:0003924	CGI_10012330	21213869688	1.10E+11	46899929437	99810529478	GTPase activity	other molecular function	F	1												
GO:0005200	CGI_10012330	21213869688	1.10E+11	46899929437	99810529478	structural constituent of cytoskeleton	cytoskeletal activity	F	1												
GO:0005525	CGI_10012330	21213869688	1.10E+11	46899929437	99810529478	GTP binding	other molecular function	F	1												
GO:0005737	CGI_10012330	21213869688	1.10E+11	46899929437	99810529478	cytoplasm	other cellular component	C	1												
GO:0005874	CGI_10012330	21213869688	1.10E+11	46899929437	99810529478	microtubule	cytoskeleton	C	1												
GO:0007017	CGI_10012330	21213869688	1.10E+11	46899929437	99810529478	microtubule-based process	other biological processes	P	1												
GO:0005576	CGI_10012352	501456017	2737016872	1053980058	2091296099	extracellular region	non-structural extracellular	C	1												
GO:0006030	CGI_10012352	501456017	2737016872	1053980058	2091296099	chitin metabolic process	other metabolic processes	P	1												
GO:0008061	CGI_10012352	501456017	2737016872	1053980058	2091296099	chitin binding	other molecular function	F	1												
GO:0005576	CGI_10012353	773629744	3105313292	2070546998	2390216732	extracellular region	non-structural extracellular	C	1												
GO:0006030	CGI_10012353	773629744	3105313292	2070546998	2390216732	chitin metabolic process	other metabolic processes	P	1												
GO:0008061	CGI_10012353	773629744	3105313292	2070546998	2390216732	chitin binding	other molecular function	F	1												
GO:0006464	CGI_10012452	1139979991	2100178877	1700245264	1929419078	protein modification process	protein metabolism	P	1												
GO:0008641	CGI_10012452	1139979991	2100178877	1700245264	1929419078	small protein activating enzyme activity	other molecular function	F	1												
GO:0003746	CGI_10012474	26888918944	83367502186	47673143015	64219540051	translation elongation factor activity	nucleic acid binding activity	F	1												
GO:0003924	CGI_10012474	26888918944	83367502186	47673143015	64219540051	GTPase activity	other molecular function	F	1												
GO:0005525	CGI_10012474	26888918944	83367502186	47673143015	64219540051	GTP binding	other molecular function	F	1												
GO:0005737	CGI_10012474	26888918944	83367502186	47673143015	64219540051	cytoplasm	other cellular component	C	1												
GO:0005739	CGI_10012574	1032142341	2026755338	1665658649	3056496498	mitochondrion	mitochondrion	C	1												
GO:0009055	CGI_10012574	1032142341	2026755338	1665658649	3056496498	electron carrier activity	other molecular function	F	1												
GO:0020037	CGI_10012574	1032142341	2026755338	1665658649	3056496498	heme binding	other molecular function	F	1												
GO:0046872	CGI_10012574	1032142341	2026755338	1665658649	3056496498	metal ion binding	other molecular function	F	1												
GO:0055114	CGI_10012574	1032142341	2026755338	1665658649	3056496498	oxidation reduction	other metabolic processes	P	1												
GO:0070469	CGI_10012574	1032142341	2026755338	1665658649	3056496498	respiratory chain	other membranes	C	1												
GO:0000287	CGI_10012610	8443771862	23554720626	14590892789	25855185453	magnesium ion binding	other molecular function	F	1												
GO:0004450	CGI_10012610	8443771862	23554720626	14590892789	25855185453	isocitrate dehydrogenase (NADP+) activity	other molecular function	F	1												
GO:0006099	CGI_10012610	8443771862	23554720626	14590892789	25855185453	tricarboxylic acid cycle	other metabolic processes	P	1												
GO:0006102	CGI_10012610	8443771862	23554720626	14590892789	25855185453	isocitrate metabolic process	other metabolic processes	P	1												
GO:0051287	CGI_10012610	8443771862	23554720626	14590892789	25855185453	NAD or NADH binding	other molecular function	F	1												
GO:0016620	CGI_10012671	742065584	4087773450	2286299089	5265252417	"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor"	other molecular function	F	1												
GO:0008270	CGI_10012729	2238661054	3896812163	3770540972	3315806290	zinc ion binding	other molecular function	F	1												
GO:0008483	CGI_10012828	728161487	2010974056	1179657977	1559079449	transaminase activity	other molecular function	F	1												
GO:0030170	CGI_10012828	728161487	2010974056	1179657977	1559079449	pyridoxal phosphate binding	other molecular function	F	1												
GO:0006810	CGI_10012871	1318393270	2673913504	2259964945	3052420859	transport	transport	P	1												
GO:0016021	CGI_10012871	1318393270	2673913504	2259964945	3052420859	integral to membrane	other membranes	C	1												
GO:0004129	CGI_10012919	367746430	3541492762	1484395641	3670546174	cytochrome-c oxidase activity	transporter activity	F	1												
GO:0005739	CGI_10012919	367746430	3541492762	1484395641	3670546174	mitochondrion	mitochondrion	C	1												
GO:0005743	CGI_10012951	1073654432	1347452468	1557165912	1341109303	mitochondrial inner membrane	mitochondrion	C	1												
GO:0005743	CGI_10012951	1073654432	1347452468	1557165912	1341109303	mitochondrial inner membrane	other membranes	C	1												
GO:0008137	CGI_10012951	1073654432	1347452468	1557165912	1341109303	NADH dehydrogenase (ubiquinone) activity	other molecular function	F	1												
GO:0042773	CGI_10012951	1073654432	1347452468	1557165912	1341109303	ATP synthesis coupled electron transport	other metabolic processes	P	1												
GO:0003735	CGI_10013084	3603622832	6019092522	4272613652	4323041720	structural constituent of ribosome	other molecular function	F	1												
GO:0006412	CGI_10013084	3603622832	6019092522	4272613652	4323041720	translation	protein metabolism	P	1												
GO:0015934	CGI_10013084	3603622832	6019092522	4272613652	4323041720	large ribosomal subunit	translational apparatus	C	1												
GO:0016616	CGI_10013115	547763641	1601788163	1551533208	1862052910	"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor"	other molecular function	F	1												
GO:0051287	CGI_10013115	547763641	1601788163	1551533208	1862052910	NAD or NADH binding	other molecular function	F	1												
GO:0003950	CGI_10013249	36681260258	68277969734	52337802123	71887119794	NAD+ ADP-ribosyltransferase activity	other molecular function	F	1												
GO:0006471	CGI_10013249	36681260258	68277969734	52337802123	71887119794	protein amino acid ADP-ribosylation	protein metabolism	P	1												
GO:0005509	CGI_10013291	286814472	2805521151	1085339420	3042796321	calcium ion binding	other molecular function	F	1												
GO:0005576	CGI_10013291	286814472	2805521151	1085339420	3042796321	extracellular region	non-structural extracellular	C	1												
GO:0007160	CGI_10013291	286814472	2805521151	1085339420	3042796321	cell-matrix adhesion	cell adhesion	P	1												
GO:0005509	CGI_10013293	3690513124	9033228538	5696316301	9637288018	calcium ion binding	other molecular function	F	1												
GO:0005576	CGI_10013293	3690513124	9033228538	5696316301	9637288018	extracellular region	non-structural extracellular	C	1												
GO:0007160	CGI_10013293	3690513124	9033228538	5696316301	9637288018	cell-matrix adhesion	cell adhesion	P	1												
GO:0005524	CGI_10013347	11739760930	31689669112	21142757623	30889138600	ATP binding	other molecular function	F	1												
GO:0015986	CGI_10013347	11739760930	31689669112	21142757623	30889138600	ATP synthesis coupled proton transport	other metabolic processes	P	1												
GO:0015986	CGI_10013347	11739760930	31689669112	21142757623	30889138600	ATP synthesis coupled proton transport	transport	P	1												
GO:0015991	CGI_10013347	11739760930	31689669112	21142757623	30889138600	ATP hydrolysis coupled proton transport	transport	P	1												
GO:0045261	CGI_10013347	11739760930	31689669112	21142757623	30889138600	"proton-transporting ATP synthase complex, catalytic core F(1)"	other membranes	C	1												
GO:0046933	CGI_10013347	11739760930	31689669112	21142757623	30889138600	"hydrogen ion transporting ATP synthase activity, rotational mechanism"	transporter activity	F	1												
GO:0005524	CGI_10013567	1059734981	2838295536	2155850137	2379967452	ATP binding	other molecular function	F	1												
GO:0005737	CGI_10013567	1059734981	2838295536	2155850137	2379967452	cytoplasm	other cellular component	C	1												
GO:0006457	CGI_10013567	1059734981	2838295536	2155850137	2379967452	protein folding	protein metabolism	P	1												
GO:0004869	CGI_10013578	1245963019	1592259938	1591360743	1022971277	cysteine-type endopeptidase inhibitor activity	enzyme regulator activity	F	1												
GO:0005622	CGI_10013578	1245963019	1592259938	1591360743	1022971277	intracellular	other cellular component	C	1												
GO:0005200	CGI_10013845	2338707320	4823367846	3775345656	5080136774	structural constituent of cytoskeleton	cytoskeletal activity	F	1												
GO:0005543	CGI_10013845	2338707320	4823367846	3775345656	5080136774	phospholipid binding	other molecular function	F	1												
GO:0008091	CGI_10013845	2338707320	4823367846	3775345656	5080136774	spectrin	cytoskeleton	C	1												
GO:0003755	CGI_10013880	3264211722	12792208196	5648533487	11107209204	peptidyl-prolyl cis-trans isomerase activity	other molecular function	F	1												
GO:0006457	CGI_10013880	3264211722	12792208196	5648533487	11107209204	protein folding	protein metabolism	P	1												
GO:0004721	CGI_10013946	931137822	2434512032	1894692937	2799810066	phosphoprotein phosphatase activity	other molecular function	F	1												
GO:0046872	CGI_10013946	931137822	2434512032	1894692937	2799810066	metal ion binding	other molecular function	F	1												
GO:0006520	CGI_10014092	1240865903	2337427525	1906583410	2063976552	cellular amino acid metabolic process	other metabolic processes	P	1												
GO:0008483	CGI_10014092	1240865903	2337427525	1906583410	2063976552	transaminase activity	other molecular function	F	1												
GO:0009058	CGI_10014092	1240865903	2337427525	1906583410	2063976552	biosynthetic process	other metabolic processes	P	1												
GO:0030170	CGI_10014092	1240865903	2337427525	1906583410	2063976552	pyridoxal phosphate binding	other molecular function	F	1												
GO:0005524	CGI_10014151	814565333	1846347558	2133042508	1792447636	ATP binding	other molecular function	F	1												
GO:0015991	CGI_10014151	814565333	1846347558	2133042508	1792447636	ATP hydrolysis coupled proton transport	transport	P	1												
GO:0033180	CGI_10014151	814565333	1846347558	2133042508	1792447636	"proton-transporting V-type ATPase, V1 domain"	other membranes	C	1												
GO:0046034	CGI_10014151	814565333	1846347558	2133042508	1792447636	ATP metabolic process	other metabolic processes	P	1												
GO:0046961	CGI_10014151	814565333	1846347558	2133042508	1792447636	"proton-transporting ATPase activity, rotational mechanism"	transporter activity	F	1												
GO:0008483	CGI_10014208	658523366	1921047364	1155072912	2004758435	transaminase activity	other molecular function	F	1												
GO:0009058	CGI_10014208	658523366	1921047364	1155072912	2004758435	biosynthetic process	other metabolic processes	P	1												
GO:0030170	CGI_10014208	658523366	1921047364	1155072912	2004758435	pyridoxal phosphate binding	other molecular function	F	1												
GO:0016491	CGI_10014226	1907915373	6706221481	4727825887	6201766932	oxidoreductase activity	other molecular function	F	1												
GO:0016021	CGI_10014243	1490084534	3063248235	1728110890	2710967020	integral to membrane	other membranes	C	1												
GO:0009058	CGI_10014314	1164219270	2721284763	1763919421	3041869769	biosynthetic process	other metabolic processes	P	1												
GO:0016567	CGI_10014314	1164219270	2721284763	1763919421	3041869769	protein ubiquitination	protein metabolism	P	1												
GO:0016620	CGI_10014314	1164219270	2721284763	1763919421	3041869769	"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor"	other molecular function	F	1												
GO:0016742	CGI_10014314	1164219270	2721284763	1763919421	3041869769	"hydroxymethyl-, formyl- and related transferase activity"	other molecular function	F	1												
GO:0000166	CGI_10014767	2631740244	3863403609	3667042417	3218914131	nucleotide binding	other molecular function	F	1												
GO:0003735	CGI_10014767	2631740244	3863403609	3667042417	3218914131	structural constituent of ribosome	other molecular function	F	1												
GO:0005840	CGI_10014767	2631740244	3863403609	3667042417	3218914131	ribosome	translational apparatus	C	1												
GO:0006412	CGI_10014767	2631740244	3863403609	3667042417	3218914131	translation	protein metabolism	P	1												
GO:0004613	CGI_10014915	1160271786	1773430532	1095808370	1192941073	phosphoenolpyruvate carboxykinase (GTP) activity	other molecular function	F	1												
GO:0005525	CGI_10014915	1160271786	1773430532	1095808370	1192941073	GTP binding	other molecular function	F	1												
GO:0006094	CGI_10014915	1160271786	1773430532	1095808370	1192941073	gluconeogenesis	other metabolic processes	P	1												
GO:0016301	CGI_10014915	1160271786	1773430532	1095808370	1192941073	kinase activity	kinase activity	F	1												
GO:0004613	CGI_10014916	3197692931	9405117701	5854395423	7893673105	phosphoenolpyruvate carboxykinase (GTP) activity	other molecular function	F	1												
GO:0005525	CGI_10014916	3197692931	9405117701	5854395423	7893673105	GTP binding	other molecular function	F	1												
GO:0006094	CGI_10014916	3197692931	9405117701	5854395423	7893673105	gluconeogenesis	other metabolic processes	P	1												
GO:0016301	CGI_10014916	3197692931	9405117701	5854395423	7893673105	kinase activity	kinase activity	F	1												
GO:0005975	CGI_10015004	1223108091	7586431253	3366769016	8216682912	carbohydrate metabolic process	other metabolic processes	P	1												
GO:0006108	CGI_10015004	1223108091	7586431253	3366769016	8216682912	malate metabolic process	other metabolic processes	P	1												
GO:0030060	CGI_10015004	1223108091	7586431253	3366769016	8216682912	L-malate dehydrogenase activity	other molecular function	F	1												
GO:0007099	CGI_10015025	854828776	1942833130	868038628	1632654859	centriole replication	cell cycle and proliferation	P	1												
GO:0007099	CGI_10015025	854828776	1942833130	868038628	1632654859	centriole replication	cell organization and biogenesis	P	1												
GO:0010457	CGI_10015025	854828776	1942833130	868038628	1632654859	centriole-centriole cohesion	cell organization and biogenesis	P	1												
GO:0005524	CGI_10015118	447562968	1990458964	1389951533	1970700450	ATP binding	other molecular function	F	1												
GO:0005737	CGI_10015118	447562968	1990458964	1389951533	1970700450	cytoplasm	other cellular component	C	1												
GO:0006457	CGI_10015118	447562968	1990458964	1389951533	1970700450	protein folding	protein metabolism	P	1												
GO:0005524	CGI_10015152	3143171539	7614779284	5749224735	7551270377	ATP binding	other molecular function	F	1												
GO:0016787	CGI_10015152	3143171539	7614779284	5749224735	7551270377	hydrolase activity	other molecular function	F	1												
GO:0004222	CGI_10015155	859366222	1947493131	1485328026	2012398477	metalloendopeptidase activity	other molecular function	F	1												
GO:0046872	CGI_10015155	859366222	1947493131	1485328026	2012398477	metal ion binding	other molecular function	F	1												
GO:0003735	CGI_10015200	10919265018	17536599781	15671646883	14507642218	structural constituent of ribosome	other molecular function	F	1												
GO:0005840	CGI_10015200	10919265018	17536599781	15671646883	14507642218	ribosome	translational apparatus	C	1												
GO:0006414	CGI_10015200	10919265018	17536599781	15671646883	14507642218	translational elongation	protein metabolism	P	1												
GO:0005198	CGI_10015202	6758774476	17227555580	11291688156	15470598131	structural molecule activity	other molecular function	F	1												
GO:0006886	CGI_10015202	6758774476	17227555580	11291688156	15470598131	intracellular protein transport	transport	P	1												
GO:0016192	CGI_10015202	6758774476	17227555580	11291688156	15470598131	vesicle-mediated transport	transport	P	1												
GO:0030130	CGI_10015202	6758774476	17227555580	11291688156	15470598131	clathrin coat of trans-Golgi network vesicle	ER/Golgi	C	1												
GO:0030130	CGI_10015202	6758774476	17227555580	11291688156	15470598131	clathrin coat of trans-Golgi network vesicle	other membranes	C	1												
GO:0030132	CGI_10015202	6758774476	17227555580	11291688156	15470598131	clathrin coat of coated pit	other membranes	C	1												
GO:0030132	CGI_10015202	6758774476	17227555580	11291688156	15470598131	clathrin coat of coated pit	plasma membrane	C	1												
GO:0005198	CGI_10015239	440358741	1963449260	1139843985	2606172999	structural molecule activity	other molecular function	F	1												
GO:0005737	CGI_10015239	440358741	1963449260	1139843985	2606172999	cytoplasm	other cellular component	C	1												
GO:0005856	CGI_10015239	440358741	1963449260	1139843985	2606172999	cytoskeleton	cytoskeleton	C	1												
GO:0019898	CGI_10015239	440358741	1963449260	1139843985	2606172999	extrinsic to membrane	other membranes	C	1												
GO:0016021	CGI_10015322	38667288	8500445423	2227584900	7391577064	integral to membrane	other membranes	C	1												
GO:0004356	CGI_10015425	830075815	1718341351	1175307311	1637593759	glutamate-ammonia ligase activity	other molecular function	F	1												
GO:0005524	CGI_10015425	830075815	1718341351	1175307311	1637593759	ATP binding	other molecular function	F	1												
GO:0006542	CGI_10015425	830075815	1718341351	1175307311	1637593759	glutamine biosynthetic process	other metabolic processes	P	1												
GO:0004356	CGI_10015426	893263525	2464030694	1326914869	2327779567	glutamate-ammonia ligase activity	other molecular function	F	1												
GO:0005524	CGI_10015426	893263525	2464030694	1326914869	2327779567	ATP binding	other molecular function	F	1												
GO:0006542	CGI_10015426	893263525	2464030694	1326914869	2327779567	glutamine biosynthetic process	other metabolic processes	P	1												
GO:0005524	CGI_10015492	8634347433	41379597689	15704623658	36826053915	ATP binding	other molecular function	F	1												
GO:0016620	CGI_10015523	1440082388	2865199580	2219615420	3207524112	"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor"	other molecular function	F	1												
GO:0019013	CGI_10015594	1005885894	1687424469	1287425157	1445794342	viral nucleocapsid	other cellular component	C	1												
GO:0030529	CGI_10015594	1005885894	1687424469	1287425157	1445794342	ribonucleoprotein complex	other cellular component	C	1												
GO:0005975	CGI_10015642	1817091125	4405792396	2960505933	5098839638	carbohydrate metabolic process	other metabolic processes	P	1												
GO:0006099	CGI_10015642	1817091125	4405792396	2960505933	5098839638	tricarboxylic acid cycle	other metabolic processes	P	1												
GO:0006108	CGI_10015642	1817091125	4405792396	2960505933	5098839638	malate metabolic process	other metabolic processes	P	1												
GO:0030060	CGI_10015642	1817091125	4405792396	2960505933	5098839638	L-malate dehydrogenase activity	other molecular function	F	1												
GO:0005509	CGI_10015666	2465759124	6298422516	2618384512	6172028728	calcium ion binding	other molecular function	F	1												
GO:0005886	CGI_10015666	2465759124	6298422516	2618384512	6172028728	plasma membrane	other membranes	C	1												
GO:0005886	CGI_10015666	2465759124	6298422516	2618384512	6172028728	plasma membrane	plasma membrane	C	1												
GO:0007156	CGI_10015666	2465759124	6298422516	2618384512	6172028728	homophilic cell adhesion	cell adhesion	P	1												
GO:0016021	CGI_10015666	2465759124	6298422516	2618384512	6172028728	integral to membrane	other membranes	C	1												
GO:0005509	CGI_10015916	9028875590	26925472738	12496071372	23500099794	calcium ion binding	other molecular function	F	1												
GO:0005783	CGI_10015916	9028875590	26925472738	12496071372	23500099794	endoplasmic reticulum	ER/Golgi	C	1												
GO:0006457	CGI_10015916	9028875590	26925472738	12496071372	23500099794	protein folding	protein metabolism	P	1												
GO:0005509	CGI_10015917	6195355189	21491585281	9868207533	19361993764	calcium ion binding	other molecular function	F	1												
GO:0005783	CGI_10015917	6195355189	21491585281	9868207533	19361993764	endoplasmic reticulum	ER/Golgi	C	1												
GO:0006457	CGI_10015917	6195355189	21491585281	9868207533	19361993764	protein folding	protein metabolism	P	1												
GO:0004491	CGI_10016140	3148621238	5484999149	4159547275	6119110282	methylmalonate-semialdehyde dehydrogenase (acylating) activity	other molecular function	F	1												
GO:0005524	CGI_10016162	1513410797	7817129754	3132338882	6559289196	ATP binding	other molecular function	F	1												
GO:0006457	CGI_10016162	1513410797	7817129754	3132338882	6559289196	protein folding	protein metabolism	P	1												
GO:0008234	CGI_10016721	2378368605	6078583475	6418093435	4601755148	cysteine-type peptidase activity	other molecular function	F	1												
GO:0008234	CGI_10016722	2525362260	6190056947	6626025137	4777678923	cysteine-type peptidase activity	other molecular function	F	1												
GO:0005525	CGI_10016812	808444319	2074666574	1460837704	1627791954	GTP binding	other molecular function	F	1												
GO:0005622	CGI_10016812	808444319	2074666574	1460837704	1627791954	intracellular	other cellular component	C	1												
GO:0007264	CGI_10016812	808444319	2074666574	1460837704	1627791954	small GTPase mediated signal transduction	signal transduction	P	1												
GO:0004823	CGI_10017030	217752270	3098846757	917105176	2302138143	leucine-tRNA ligase activity	other molecular function	F	1												
GO:0005524	CGI_10017030	217752270	3098846757	917105176	2302138143	ATP binding	other molecular function	F	1												
GO:0005737	CGI_10017030	217752270	3098846757	917105176	2302138143	cytoplasm	other cellular component	C	1												
GO:0006429	CGI_10017030	217752270	3098846757	917105176	2302138143	leucyl-tRNA aminoacylation	RNA metabolism	P	1												
GO:0006429	CGI_10017030	217752270	3098846757	917105176	2302138143	leucyl-tRNA aminoacylation	protein metabolism	P	1												
GO:0005524	CGI_10017112	1.19E+11	2.54E+11	1.79E+11	2.50E+11	ATP binding	other molecular function	F	1												
GO:0005737	CGI_10017163	1197807020	3720898614	1709095816	2531827032	cytoplasm	other cellular component	C	1												
GO:0008239	CGI_10017163	1197807020	3720898614	1709095816	2531827032	dipeptidyl-peptidase activity	other molecular function	F	1												
