Protein	Len	27	32	LogFoldChange	absolute value logfoldchange	Zstatistic	absolute value Zstatistic	fdr	FDRup	FDRdown																												
CHOYP_DNAH5.1.2|m.56799	4607	57	13	-1.724	1.724	-5.6231	5.6231	0	0.58594	0	CHOYP_DNAH5.1.2|m.56799	Q8TE73	DYH5_HUMAN	63.97	4635	1561	22	65	4606	6	4624	0	6130	1	Q8TE73	DYH5_HUMAN	reviewed	"Dynein heavy chain 5, axonemal (Axonemal beta dynein heavy chain 5) (Ciliary dynein heavy chain 5)"	DNAH5 DNAHC5 HL1 KIAA1603	Homo sapiens (Human)	4624	cilium assembly [GO:0060271]; cilium movement [GO:0003341]; determination of left/right symmetry [GO:0007368]; flagellated sperm motility [GO:0030317]; heart development [GO:0007507]; lateral ventricle development [GO:0021670]; outer dynein arm assembly [GO:0036158]	GO:0003341; GO:0003777; GO:0005524; GO:0005737; GO:0005874; GO:0005930; GO:0007368; GO:0007507; GO:0016887; GO:0021670; GO:0030317; GO:0036157; GO:0036158; GO:0060271				PF07728;PF12780;PF08385;PF08393;PF03028;PF12777;	axoneme [GO:0005930]; cytoplasm [GO:0005737]; microtubule [GO:0005874]; outer dynein arm [GO:0036157]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; microtubule motor activity [GO:0003777]; cilium assembly [GO:0060271]; cilium movement [GO:0003341]; determination of left/right symmetry [GO:0007368]; flagellated sperm motility [GO:0030317]; heart development [GO:0007507]; lateral ventricle development [GO:0021670]; outer dynein arm assembly [GO:0036158]
CHOYP_TVAG_268110.13.13|m.65590	933	35	9	-1.676	1.676	-4.2215	4.2215	0	0.586626	0																												
CHOYP_contig_010639|m.12333	187	10	3	-1.658	1.658	-2.2918	2.2918	0	0.593843	0																												
CHOYP_LOC100366428.1.1|m.3739	935	10	3	-1.607	1.607	-2.2646	2.2646	0	0.594154	0	CHOYP_LOC100366428.1.1|m.3739	Q7RTY7	OVCH1_HUMAN	30.17	474	296	11	465	931	366	811	6.00E-62	232	1	Q7RTY7	OVCH1_HUMAN	reviewed	Ovochymase-1 (EC 3.4.21.-)	OVCH1	Homo sapiens (Human)	1134		GO:0004252; GO:0005576; GO:0046872			cd00041;cd00190;	PF00431;PF00089;	extracellular region [GO:0005576]; metal ion binding [GO:0046872]; serine-type endopeptidase activity [GO:0004252]
CHOYP_LOC100374995.2.3|m.59062	1428	14	4	-1.596	1.596	-2.5543	2.5543	0	0.591454	0	CHOYP_LOC100374995.2.3|m.59062	Q5TFE4	NT5D1_HUMAN	40.79	152	85	3	45	195	3	150	2.00E-27	121	1	Q5TFE4	NT5D1_HUMAN	reviewed	5'-nucleotidase domain-containing protein 1 (EC 3.1.3.-)	NT5DC1 NT5C2L1 LP2642	Homo sapiens (Human)	455		GO:0008253; GO:0046872				PF05761;	5'-nucleotidase activity [GO:0008253]; metal ion binding [GO:0046872]
CHOYP_BRAFLDRAFT_123537.2.2|m.50531	438	10	3	-1.572	1.572	-2.4666	2.4666	0	0.592135	0	CHOYP_BRAFLDRAFT_123537.2.2|m.50531	Q9UIF3	TEKT2_HUMAN	59.42	414	152	2	1	413	1	399	2.00E-165	479	1	Q9UIF3	TEKT2_HUMAN	reviewed	Tektin-2 (Tektin-t) (Testicular tektin) (Testicular tektin B1-like protein) (TEKTB1) (Tektin-B1)	TEKT2	Homo sapiens (Human)	430	cilium assembly [GO:0060271]; cilium movement involved in cell motility [GO:0060294]; flagellated sperm motility [GO:0030317]; inner dynein arm assembly [GO:0036159]	GO:0005634; GO:0005737; GO:0005874; GO:0030317; GO:0036126; GO:0036159; GO:0060271; GO:0060294					cytoplasm [GO:0005737]; microtubule [GO:0005874]; nucleus [GO:0005634]; sperm flagellum [GO:0036126]; cilium assembly [GO:0060271]; cilium movement involved in cell motility [GO:0060294]; flagellated sperm motility [GO:0030317]; inner dynein arm assembly [GO:0036159]
CHOYP_ECM29.1.1|m.48083	1936	18	5	-1.553	1.553	-2.9516	2.9516	0	0.589322	0	CHOYP_ECM29.1.1|m.48083	Q6PDI5	ECM29_MOUSE	48.76	1819	853	25	11	1777	3	1794	0	1730	1	Q6PDI5	ECM29_MOUSE	reviewed	Proteasome-associated protein ECM29 homolog (Ecm29)	Ecm29 Kiaa0368	Mus musculus (Mouse)	1840	ER-associated ubiquitin-dependent protein catabolic process [GO:0030433]; proteasome assembly [GO:0043248]	GO:0000502; GO:0005634; GO:0005769; GO:0005770; GO:0005771; GO:0005783; GO:0005793; GO:0005813; GO:0016020; GO:0030134; GO:0030139; GO:0030433; GO:0031410; GO:0043248				PF13001;	centrosome [GO:0005813]; cytoplasmic vesicle [GO:0031410]; early endosome [GO:0005769]; endocytic vesicle [GO:0030139]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum-Golgi intermediate compartment [GO:0005793]; ER to Golgi transport vesicle [GO:0030134]; late endosome [GO:0005770]; membrane [GO:0016020]; multivesicular body [GO:0005771]; nucleus [GO:0005634]; proteasome complex [GO:0000502]; ER-associated ubiquitin-dependent protein catabolic process [GO:0030433]; proteasome assembly [GO:0043248]
CHOYP_LOC100377751.1.1|m.26359	1082	10	3	-1.536	1.536	-2.1604	2.1604	0	0.595469	0	CHOYP_LOC100377751.1.1|m.26359	Q8TBY9	WDR66_HUMAN	47.6	897	462	6	182	1072	249	1143	0	917	1	Q8TBY9	WDR66_HUMAN	reviewed	WD repeat-containing protein 66	WDR66	Homo sapiens (Human)	1149						PF00400;	
CHOYP_TVAG_355490.20.22|m.57012	671	14	4	-1.534	1.534	-2.5365	2.5365	0	0.591584	0																												
CHOYP_DYH2.1.1|m.28905	4536	20	6	-1.507	1.507	-3.0087	3.0087	0	0.589089	0	CHOYP_DYH2.1.1|m.28905	P0C6F1	DYH2_MOUSE	68.3	4044	1258	9	502	4534	425	4455	0	5908	1	P0C6F1	DYH2_MOUSE	reviewed	"Dynein heavy chain 2, axonemal (Axonemal beta dynein heavy chain 2) (Ciliary dynein heavy chain 2)"	Dnah2 Dnahc2	Mus musculus (Mouse)	4456	microtubule-based movement [GO:0007018]	GO:0003777; GO:0005524; GO:0005737; GO:0005874; GO:0007018; GO:0016887; GO:0031514; GO:0036156				PF07728;PF12780;PF08385;PF08393;PF03028;PF12777;	cytoplasm [GO:0005737]; inner dynein arm [GO:0036156]; microtubule [GO:0005874]; motile cilium [GO:0031514]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; microtubule motor activity [GO:0003777]; microtubule-based movement [GO:0007018]
CHOYP_LOC100636340.1.4|m.5143	2573	46	14	-1.453	1.453	-4.6145	4.6145	0	0.586273	0	CHOYP_LOC100636340.1.4|m.5143	Q9UGM3	DMBT1_HUMAN	41.1	1679	733	37	459	1909	91	1741	0	1106	1	Q9UGM3	DMBT1_HUMAN	reviewed	Deleted in malignant brain tumors 1 protein (Glycoprotein 340) (Gp-340) (Hensin) (Salivary agglutinin) (SAG) (Surfactant pulmonary-associated D-binding protein)	DMBT1 GP340	Homo sapiens (Human)	2413	cellular protein metabolic process [GO:0044267]; defense response to virus [GO:0051607]; epithelial cell differentiation [GO:0030855]; induction of bacterial agglutination [GO:0043152]; innate immune response [GO:0045087]; multicellular organism development [GO:0007275]; protein transport [GO:0015031]; viral process [GO:0016032]	GO:0005044; GO:0005576; GO:0005615; GO:0005737; GO:0007275; GO:0008329; GO:0015031; GO:0016032; GO:0019898; GO:0030670; GO:0030855; GO:0035375; GO:0042589; GO:0043152; GO:0044267; GO:0045087; GO:0048306; GO:0051607; GO:0070062			cd00041;	PF00431;PF00530;PF00100;	cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; extrinsic component of membrane [GO:0019898]; phagocytic vesicle membrane [GO:0030670]; zymogen granule membrane [GO:0042589]; calcium-dependent protein binding [GO:0048306]; scavenger receptor activity [GO:0005044]; signaling pattern recognition receptor activity [GO:0008329]; zymogen binding [GO:0035375]; cellular protein metabolic process [GO:0044267]; defense response to virus [GO:0051607]; epithelial cell differentiation [GO:0030855]; induction of bacterial agglutination [GO:0043152]; innate immune response [GO:0045087]; multicellular organism development [GO:0007275]; protein transport [GO:0015031]; viral process [GO:0016032]
CHOYP_CNE_1C34780.3.3|m.30615	174	19	6	-1.452	1.452	-3.0838	3.0838	0	0.588807	0																												
CHOYP_LOC580840.1.1|m.45392	216	9	3	-1.416	1.416	-2.0421	2.0421	0	0.59723	0	CHOYP_LOC580840.1.1|m.45392	Q32L77	CI135_BOVIN	39.72	214	123	5	3	214	22	231	3.00E-41	145	1	Q32L77	CI135_BOVIN	reviewed	Uncharacterized protein C9orf135 homolog		Bos taurus (Bovine)	232		GO:0016021				PF15139;	integral component of membrane [GO:0016021]
CHOYP_contig_004594|m.5279	257	12	4	-1.405	1.405	-2.429	2.429	0	0.592462	0																												
CHOYP_HSPG2.1.4|m.1496	1143	15	5	-1.394	1.394	-2.6011	2.6011	0	0.591132	0	CHOYP_HSPG2.1.4|m.1496	P98158	LRP2_RAT	41.41	326	165	10	745	1047	3553	3875	4.00E-53	208	1	P98158	LRP2_RAT	reviewed	Low-density lipoprotein receptor-related protein 2 (LRP-2) (Glycoprotein 330) (gp330) (Megalin)	Lrp2	Rattus norvegicus (Rat)	4660	aging [GO:0007568]; animal organ regeneration [GO:0031100]; endosomal transport [GO:0016197]; hemoglobin import [GO:0020028]; hormone secretion [GO:0046879]; lipoprotein transport [GO:0042953]; negative regulation of endopeptidase activity [GO:0010951]; receptor-mediated endocytosis [GO:0006898]; response to drug [GO:0042493]; response to retinoic acid [GO:0032526]; response to vitamin D [GO:0033280]; response to X-ray [GO:0010165]; transcytosis [GO:0045056]; vitamin metabolic process [GO:0006766]	GO:0004872; GO:0005509; GO:0005615; GO:0005737; GO:0005768; GO:0005903; GO:0005905; GO:0006766; GO:0006898; GO:0007568; GO:0010165; GO:0010951; GO:0016020; GO:0016021; GO:0016197; GO:0016324; GO:0020028; GO:0030165; GO:0030492; GO:0031100; GO:0031526; GO:0032403; GO:0032526; GO:0033280; GO:0042493; GO:0042562; GO:0042953; GO:0043234; GO:0045056; GO:0045121; GO:0046879; GO:0050750				PF12662;PF07645;PF00057;PF00058;	apical plasma membrane [GO:0016324]; brush border [GO:0005903]; brush border membrane [GO:0031526]; clathrin-coated pit [GO:0005905]; cytoplasm [GO:0005737]; endosome [GO:0005768]; extracellular space [GO:0005615]; integral component of membrane [GO:0016021]; membrane [GO:0016020]; membrane raft [GO:0045121]; protein complex [GO:0043234]; calcium ion binding [GO:0005509]; hemoglobin binding [GO:0030492]; hormone binding [GO:0042562]; low-density lipoprotein particle receptor binding [GO:0050750]; PDZ domain binding [GO:0030165]; protein complex binding [GO:0032403]; receptor activity [GO:0004872]; aging [GO:0007568]; animal organ regeneration [GO:0031100]; endosomal transport [GO:0016197]; hemoglobin import [GO:0020028]; hormone secretion [GO:0046879]; lipoprotein transport [GO:0042953]; negative regulation of endopeptidase activity [GO:0010951]; receptor-mediated endocytosis [GO:0006898]; response to drug [GO:0042493]; response to retinoic acid [GO:0032526]; response to vitamin D [GO:0033280]; response to X-ray [GO:0010165]; transcytosis [GO:0045056]; vitamin metabolic process [GO:0006766]
CHOYP_DNAH6.2.3|m.21512	4183	11	4	-1.39	1.39	-2.1987	2.1987	0	0.594962	0	CHOYP_DNAH6.2.3|m.21512	Q9NYC9	DYH9_HUMAN	35.13	3319	2003	44	898	4180	1282	4486	0	2043	1	Q9NYC9	DYH9_HUMAN	reviewed	"Dynein heavy chain 9, axonemal (Axonemal beta dynein heavy chain 9) (Ciliary dynein heavy chain 9)"	DNAH9 DNAH17L DNAL1 KIAA0357	Homo sapiens (Human)	4486	cell projection organization [GO:0030030]; microtubule-based movement [GO:0007018]	GO:0003777; GO:0005524; GO:0005737; GO:0005874; GO:0005930; GO:0007018; GO:0016887; GO:0030030; GO:0030286				PF07728;PF12780;PF08385;PF08393;PF03028;PF12777;	axoneme [GO:0005930]; cytoplasm [GO:0005737]; dynein complex [GO:0030286]; microtubule [GO:0005874]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; microtubule motor activity [GO:0003777]; cell projection organization [GO:0030030]; microtubule-based movement [GO:0007018]
CHOYP_SASB.3.3|m.51787	591	15	5	-1.389	1.389	-2.5472	2.5472	0	0.591505	0	CHOYP_SASB.3.3|m.51787	Q6UWW8	EST3_HUMAN	33.16	561	306	19	43	578	35	551	5.00E-73	250	1	Q6UWW8	EST3_HUMAN	reviewed	Carboxylesterase 3 (EC 3.1.1.1) (Liver carboxylesterase 31 homolog)	CES3 UNQ869/PRO1887	Homo sapiens (Human)	571	receptor-mediated endocytosis [GO:0006898]; xenobiotic metabolic process [GO:0006805]	GO:0005788; GO:0005829; GO:0006805; GO:0006898; GO:0052689; GO:0070062				PF00135;	cytosol [GO:0005829]; endoplasmic reticulum lumen [GO:0005788]; extracellular exosome [GO:0070062]; carboxylic ester hydrolase activity [GO:0052689]; receptor-mediated endocytosis [GO:0006898]; xenobiotic metabolic process [GO:0006805]
CHOYP_BRAFLDRAFT_117976.2.3|m.49156	940	17	6	-1.329	1.329	-2.7171	2.7171	0	0.590438	0	CHOYP_BRAFLDRAFT_117976.2.3|m.49156	Q6P1E8	EFCB6_MOUSE	21.73	842	541	24	137	924	734	1511	2.00E-32	140	1	Q6P1E8	EFCB6_MOUSE	reviewed	EF-hand calcium-binding domain-containing protein 6 (DJ-1-binding protein) (DJBP)	Efcab6 Djbp Kiaa1672	Mus musculus (Mouse)	1516	"regulation of transcription, DNA-templated [GO:0006355]; transcription, DNA-templated [GO:0006351]"	GO:0005509; GO:0005654; GO:0006351; GO:0006355			cd00051;	PF08976;PF13202;PF13499;PF13833;	"nucleoplasm [GO:0005654]; calcium ion binding [GO:0005509]; regulation of transcription, DNA-templated [GO:0006355]; transcription, DNA-templated [GO:0006351]"
CHOYP_BRAFLDRAFT_127466.1.1|m.62415	1387	16	6	-1.298	1.298	-2.5175	2.5175	0	0.591727	0	CHOYP_BRAFLDRAFT_127466.1.1|m.62415	A6PWD2	FHAD1_MOUSE	27.57	1429	819	46	1	1298	1	1344	6.00E-106	373	1	A6PWD2	FHAD1_MOUSE	reviewed	Forkhead-associated domain-containing protein 1 (FHA domain-containing protein 1)	Fhad1	Mus musculus (Mouse)	1420						PF00498;	
CHOYP_DNAH7.2.2|m.46648	4021	37	13	-1.293	1.293	-4.0317	4.0317	0	0.586866	0	CHOYP_DNAH7.2.2|m.46648	Q8WXX0	DYH7_HUMAN	68.68	4007	1224	11	23	4019	38	4023	0	5799	1	Q8WXX0	DYH7_HUMAN	reviewed	"Dynein heavy chain 7, axonemal (Axonemal beta dynein heavy chain 7) (Ciliary dynein heavy chain 7) (Dynein heavy chain-like protein 2) (hDHC2)"	DNAH7 KIAA0944	Homo sapiens (Human)	4024	cilium-dependent cell motility [GO:0060285]; cilium movement [GO:0003341]; inner dynein arm assembly [GO:0036159]	GO:0003341; GO:0003777; GO:0005509; GO:0005524; GO:0005829; GO:0005858; GO:0005874; GO:0005929; GO:0036156; GO:0036159; GO:0060285				PF12780;PF08393;PF03028;PF12777;	axonemal dynein complex [GO:0005858]; cilium [GO:0005929]; cytosol [GO:0005829]; inner dynein arm [GO:0036156]; microtubule [GO:0005874]; ATP binding [GO:0005524]; calcium ion binding [GO:0005509]; microtubule motor activity [GO:0003777]; cilium movement [GO:0003341]; cilium-dependent cell motility [GO:0060285]; inner dynein arm assembly [GO:0036159]
CHOYP_LOC100181350.1.1|m.2782	1317	11	4	-1.278	1.278	-2.2588	2.2588	0	0.594222	0	CHOYP_LOC100181350.1.1|m.2782	P47989	XDH_HUMAN	41.07	1344	726	20	21	1316	6	1331	0	969	1	P47989	XDH_HUMAN	reviewed	Xanthine dehydrogenase/oxidase [Includes: Xanthine dehydrogenase (XD) (EC 1.17.1.4); Xanthine oxidase (XO) (EC 1.17.3.2) (Xanthine oxidoreductase) (XOR)]	XDH XDHA	Homo sapiens (Human)	1333	activation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0006919]; lactation [GO:0007595]; negative regulation of endothelial cell differentiation [GO:0045602]; negative regulation of endothelial cell proliferation [GO:0001937]; negative regulation of gene expression [GO:0010629]; negative regulation of protein kinase B signaling [GO:0051898]; negative regulation of protein phosphorylation [GO:0001933]; negative regulation of vascular endothelial growth factor signaling pathway [GO:1900747]; negative regulation of vasculogenesis [GO:2001213]; positive regulation of p38MAPK cascade [GO:1900745]; positive regulation of reactive oxygen species metabolic process [GO:2000379]; purine nucleotide catabolic process [GO:0006195]; xanthine catabolic process [GO:0009115]	GO:0001933; GO:0001937; GO:0004854; GO:0004855; GO:0005506; GO:0005615; GO:0005777; GO:0005829; GO:0006195; GO:0006919; GO:0007595; GO:0009055; GO:0009115; GO:0010629; GO:0016529; GO:0016614; GO:0016903; GO:0042803; GO:0043546; GO:0045602; GO:0050660; GO:0051537; GO:0051898; GO:1900745; GO:1900747; GO:2000379; GO:2001213				PF01315;PF02738;PF03450;PF00941;PF00111;PF01799;	"cytosol [GO:0005829]; extracellular space [GO:0005615]; peroxisome [GO:0005777]; sarcoplasmic reticulum [GO:0016529]; 2 iron, 2 sulfur cluster binding [GO:0051537]; electron carrier activity [GO:0009055]; flavin adenine dinucleotide binding [GO:0050660]; iron ion binding [GO:0005506]; molybdopterin cofactor binding [GO:0043546]; oxidoreductase activity, acting on CH-OH group of donors [GO:0016614]; oxidoreductase activity, acting on the aldehyde or oxo group of donors [GO:0016903]; protein homodimerization activity [GO:0042803]; xanthine dehydrogenase activity [GO:0004854]; xanthine oxidase activity [GO:0004855]; activation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0006919]; lactation [GO:0007595]; negative regulation of endothelial cell differentiation [GO:0045602]; negative regulation of endothelial cell proliferation [GO:0001937]; negative regulation of gene expression [GO:0010629]; negative regulation of protein kinase B signaling [GO:0051898]; negative regulation of protein phosphorylation [GO:0001933]; negative regulation of vascular endothelial growth factor signaling pathway [GO:1900747]; negative regulation of vasculogenesis [GO:2001213]; positive regulation of p38MAPK cascade [GO:1900745]; positive regulation of reactive oxygen species metabolic process [GO:2000379]; purine nucleotide catabolic process [GO:0006195]; xanthine catabolic process [GO:0009115]"
CHOYP_AKD1.2.3|m.49697	1906	18	7	-1.259	1.259	-2.6754	2.6754	0	0.590672	0	CHOYP_AKD1.2.3|m.49697	Q31DX5	KAD_THICR	23.11	251	151	6	77	324	3	214	4.00E-14	78.2	1	Q31DX5	KAD_THICR	reviewed	Adenylate kinase (AK) (EC 2.7.4.3) (ATP-AMP transphosphorylase) (ATP:AMP phosphotransferase) (Adenylate monophosphate kinase)	adk Tcr_2058	Thiomicrospira crunogena (strain XCL-2)	215	AMP salvage [GO:0044209]	GO:0004017; GO:0005524; GO:0005737; GO:0044209	PATHWAY: Purine metabolism; AMP biosynthesis via salvage pathway; AMP from ADP: step 1/1. {ECO:0000255|HAMAP-Rule:MF_00235}.		cd01428;	PF05191;	cytoplasm [GO:0005737]; adenylate kinase activity [GO:0004017]; ATP binding [GO:0005524]; AMP salvage [GO:0044209]
CHOYP_AKD1.3.3|m.63103	1940	21	8	-1.252	1.252	-3.0617	3.0617	0	0.588887	0	CHOYP_AKD1.3.3|m.63103	P43188	KADC_MAIZE	22.09	249	147	5	69	317	3	204	3.00E-16	85.1	1	P43188	KADC_MAIZE	reviewed	"Adenylate kinase, chloroplastic (AK) (EC 2.7.4.3) (ATP-AMP transphosphorylase) (ATP:AMP phosphotransferase) (Adenylate monophosphate kinase)"	ADK1	Zea mays (Maize)	222		GO:0004017; GO:0005524; GO:0009507			cd01428;		chloroplast [GO:0009507]; adenylate kinase activity [GO:0004017]; ATP binding [GO:0005524]
CHOYP_ISCW_ISCW021457.1.1|m.31134	295	16	6	-1.241	1.241	-2.6713	2.6713	0	0.590696	0	CHOYP_ISCW_ISCW021457.1.1|m.31134	Q5XIH7	PHB2_RAT	68.81	295	86	4	4	292	3	297	1.00E-142	410	1	Q5XIH7	PHB2_RAT	reviewed	Prohibitin-2 (B-cell receptor-associated protein BAP37) (BAP-37)	Phb2 Bcap37	Rattus norvegicus (Rat)	299	"mammary gland alveolus development [GO:0060749]; mammary gland branching involved in thelarche [GO:0060744]; mitochondrion organization [GO:0007005]; negative regulation of apoptotic process [GO:0043066]; negative regulation of intracellular estrogen receptor signaling pathway [GO:0033147]; negative regulation of mammary gland epithelial cell proliferation [GO:0033600]; negative regulation of sequence-specific DNA binding transcription factor activity [GO:0043433]; negative regulation of transcription, DNA-templated [GO:0045892]; positive regulation of cell cycle G1/S phase transition [GO:1902808]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of exit from mitosis [GO:0031536]; positive regulation of sequence-specific DNA binding transcription factor activity [GO:0051091]; protein import into nucleus, translocation [GO:0000060]; protein stabilization [GO:0050821]; regulation of branching involved in mammary gland duct morphogenesis [GO:0060762]; sister chromatid cohesion [GO:0007062]; transcription, DNA-templated [GO:0006351]"	GO:0000060; GO:0005634; GO:0005739; GO:0005741; GO:0005743; GO:0006351; GO:0007005; GO:0007062; GO:0009986; GO:0016363; GO:0031536; GO:0033147; GO:0033218; GO:0033600; GO:0043066; GO:0043234; GO:0043433; GO:0045892; GO:0050821; GO:0051091; GO:0060744; GO:0060749; GO:0060762; GO:0070062; GO:0070374; GO:0071944; GO:1902808			cd03401;	PF01145;	"cell periphery [GO:0071944]; cell surface [GO:0009986]; extracellular exosome [GO:0070062]; mitochondrial inner membrane [GO:0005743]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]; nuclear matrix [GO:0016363]; nucleus [GO:0005634]; protein complex [GO:0043234]; amide binding [GO:0033218]; mammary gland alveolus development [GO:0060749]; mammary gland branching involved in thelarche [GO:0060744]; mitochondrion organization [GO:0007005]; negative regulation of apoptotic process [GO:0043066]; negative regulation of intracellular estrogen receptor signaling pathway [GO:0033147]; negative regulation of mammary gland epithelial cell proliferation [GO:0033600]; negative regulation of sequence-specific DNA binding transcription factor activity [GO:0043433]; negative regulation of transcription, DNA-templated [GO:0045892]; positive regulation of cell cycle G1/S phase transition [GO:1902808]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of exit from mitosis [GO:0031536]; positive regulation of sequence-specific DNA binding transcription factor activity [GO:0051091]; protein import into nucleus, translocation [GO:0000060]; protein stabilization [GO:0050821]; regulation of branching involved in mammary gland duct morphogenesis [GO:0060762]; sister chromatid cohesion [GO:0007062]; transcription, DNA-templated [GO:0006351]"
CHOYP_PSMD1.1.1|m.21683	653	10	4	-1.236	1.236	-2.0063	2.0063	0	0.59783	0	CHOYP_PSMD1.1.1|m.21683	Q99805	TM9S2_HUMAN	70.16	640	180	4	15	652	33	663	0	959	1	Q99805	TM9S2_HUMAN	reviewed	Transmembrane 9 superfamily member 2 (p76)	TM9SF2	Homo sapiens (Human)	663	transport [GO:0006810]	GO:0005768; GO:0005887; GO:0006810; GO:0010008; GO:0070062				PF02990;	endosome [GO:0005768]; endosome membrane [GO:0010008]; extracellular exosome [GO:0070062]; integral component of plasma membrane [GO:0005887]; transport [GO:0006810]
CHOYP_PHUM_PHUM450820.1.1|m.40803	912	13	5	-1.223	1.223	-2.4056	2.4056	0	0.592676	0	CHOYP_PHUM_PHUM450820.1.1|m.40803	Q5R416	CTNA2_PONAB	66.41	920	281	8	2	910	3	905	0	1212	1	Q5R416	CTNA2_PONAB	reviewed	Catenin alpha-2 (Alpha N-catenin)	CTNNA2	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)	905	axonogenesis [GO:0007409]; brain morphogenesis [GO:0048854]; dendrite morphogenesis [GO:0048813]; prepulse inhibition [GO:0060134]; radial glia guided migration of Purkinje cell [GO:0021942]; regulation of synapse structural plasticity [GO:0051823]; single organismal cell-cell adhesion [GO:0016337]	GO:0005198; GO:0005634; GO:0005737; GO:0005912; GO:0005913; GO:0007409; GO:0014069; GO:0015629; GO:0016323; GO:0016337; GO:0021942; GO:0030027; GO:0030424; GO:0048813; GO:0048854; GO:0051823; GO:0060134				PF01044;	actin cytoskeleton [GO:0015629]; adherens junction [GO:0005912]; axon [GO:0030424]; basolateral plasma membrane [GO:0016323]; cell-cell adherens junction [GO:0005913]; cytoplasm [GO:0005737]; lamellipodium [GO:0030027]; nucleus [GO:0005634]; postsynaptic density [GO:0014069]; structural molecule activity [GO:0005198]; axonogenesis [GO:0007409]; brain morphogenesis [GO:0048854]; dendrite morphogenesis [GO:0048813]; prepulse inhibition [GO:0060134]; radial glia guided migration of Purkinje cell [GO:0021942]; regulation of synapse structural plasticity [GO:0051823]; single organismal cell-cell adhesion [GO:0016337]
CHOYP_contig_015430|m.17979	207	13	5	-1.208	1.208	-2.1635	2.1635	0	0.595427	0																												
CHOYP_VRP.2.4|m.18914	564	22	9	-1.177	1.177	-3.0023	3.0023	0	0.589115	0																												
CHOYP_DHTK1.1.1|m.8425	788	14	6	-1.162	1.162	-2.2628	2.2628	0	0.594175	0	CHOYP_DHTK1.1.1|m.8425	Q5EAR5	TRPT1_DANRE	50.73	205	94	4	195	395	23	224	2.00E-61	211	1	Q5EAR5	TRPT1_DANRE	reviewed	tRNA 2'-phosphotransferase 1 (EC 2.7.1.160)	trpt1 zgc:113138	Danio rerio (Zebrafish) (Brachydanio rerio)	225	"tRNA splicing, via endonucleolytic cleavage and ligation [GO:0006388]"	GO:0000215; GO:0006388				PF01885;	"tRNA 2'-phosphotransferase activity [GO:0000215]; tRNA splicing, via endonucleolytic cleavage and ligation [GO:0006388]"
