Protein	Len	27	32	LogFoldChange	absolute value logfoldchange	Zstatistic	absolute value Zstatistic	fdr	FDRup	FDRdown																												
CHOYP_ISCW_ISCW000210.2.4|m.14990	558	32	68	0.523	0.523	2.41	2.41	0	0	0.588536	CHOYP_ISCW_ISCW000210.2.4|m.14990	O70400	PDLI1_MOUSE	47.89	71	36	1	13	82	13	83	1.00E-10	67	1	O70400	PDLI1_MOUSE	reviewed	PDZ and LIM domain protein 1 (C-terminal LIM domain protein 1) (Elfin) (LIM domain protein CLP-36)	Pdlim1 Clim1	Mus musculus (Mouse)	327	"regulation of transcription, DNA-templated [GO:0006355]; response to hypoxia [GO:0001666]"	GO:0001666; GO:0003713; GO:0005667; GO:0005737; GO:0005856; GO:0005913; GO:0005925; GO:0006355; GO:0008270; GO:0098641				PF15936;PF00412;PF00595;	"cell-cell adherens junction [GO:0005913]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; focal adhesion [GO:0005925]; transcription factor complex [GO:0005667]; cadherin binding involved in cell-cell adhesion [GO:0098641]; transcription coactivator activity [GO:0003713]; zinc ion binding [GO:0008270]; regulation of transcription, DNA-templated [GO:0006355]; response to hypoxia [GO:0001666]"
CHOYP_LOC100377173.1.2|m.37699	242	11	33	0.887	0.887	2.409	2.409	0	0	0.588542	CHOYP_LOC100377173.1.2|m.37699	P04792	HSPB1_HUMAN	38.67	75	43	2	161	233	95	168	0.000000002	59.3	1	P04792	HSPB1_HUMAN	reviewed	Heat shock protein beta-1 (HspB1) (28 kDa heat shock protein) (Estrogen-regulated 24 kDa protein) (Heat shock 27 kDa protein) (HSP 27) (Stress-responsive protein 27) (SRP27)	HSPB1 HSP27 HSP28	Homo sapiens (Human)	205	anterograde axonal protein transport [GO:0099641]; cellular response to vascular endothelial growth factor stimulus [GO:0035924]; chaperone-mediated protein folding [GO:0061077]; intracellular signal transduction [GO:0035556]; movement of cell or subcellular component [GO:0006928]; negative regulation of apoptotic process [GO:0043066]; negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway [GO:1902176]; negative regulation of protein kinase activity [GO:0006469]; platelet aggregation [GO:0070527]; positive regulation of angiogenesis [GO:0045766]; positive regulation of blood vessel endothelial cell migration [GO:0043536]; positive regulation of endothelial cell chemotaxis [GO:2001028]; positive regulation of endothelial cell chemotaxis by VEGF-activated vascular endothelial growth factor receptor signaling pathway [GO:0038033]; positive regulation of interleukin-1 beta production [GO:0032731]; positive regulation of tumor necrosis factor biosynthetic process [GO:0042535]; regulation of autophagy [GO:0010506]; regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043122]; regulation of mRNA stability [GO:0043488]; regulation of protein phosphorylation [GO:0001932]; regulation of translational initiation [GO:0006446]; response to unfolded protein [GO:0006986]; response to virus [GO:0009615]; retina homeostasis [GO:0001895]; vascular endothelial growth factor receptor signaling pathway [GO:0048010]	GO:0000502; GO:0001895; GO:0001932; GO:0003723; GO:0005080; GO:0005615; GO:0005634; GO:0005737; GO:0005819; GO:0005829; GO:0005856; GO:0005886; GO:0005925; GO:0006446; GO:0006469; GO:0006928; GO:0006986; GO:0008426; GO:0009615; GO:0010506; GO:0019901; GO:0030018; GO:0031012; GO:0032731; GO:0035556; GO:0035924; GO:0038033; GO:0042535; GO:0042802; GO:0043066; GO:0043122; GO:0043130; GO:0043488; GO:0043536; GO:0044183; GO:0045766; GO:0048010; GO:0061077; GO:0070062; GO:0070527; GO:0099641; GO:1902176; GO:1904115; GO:2001028				PF00011;	axon cytoplasm [GO:1904115]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular matrix [GO:0031012]; extracellular space [GO:0005615]; focal adhesion [GO:0005925]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; proteasome complex [GO:0000502]; spindle [GO:0005819]; Z disc [GO:0030018]; identical protein binding [GO:0042802]; protein binding involved in protein folding [GO:0044183]; protein kinase binding [GO:0019901]; protein kinase C binding [GO:0005080]; protein kinase C inhibitor activity [GO:0008426]; RNA binding [GO:0003723]; ubiquitin binding [GO:0043130]; anterograde axonal protein transport [GO:0099641]; cellular response to vascular endothelial growth factor stimulus [GO:0035924]; chaperone-mediated protein folding [GO:0061077]; intracellular signal transduction [GO:0035556]; movement of cell or subcellular component [GO:0006928]; negative regulation of apoptotic process [GO:0043066]; negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway [GO:1902176]; negative regulation of protein kinase activity [GO:0006469]; platelet aggregation [GO:0070527]; positive regulation of angiogenesis [GO:0045766]; positive regulation of blood vessel endothelial cell migration [GO:0043536]; positive regulation of endothelial cell chemotaxis [GO:2001028]; positive regulation of endothelial cell chemotaxis by VEGF-activated vascular endothelial growth factor receptor signaling pathway [GO:0038033]; positive regulation of interleukin-1 beta production [GO:0032731]; positive regulation of tumor necrosis factor biosynthetic process [GO:0042535]; regulation of autophagy [GO:0010506]; regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043122]; regulation of mRNA stability [GO:0043488]; regulation of protein phosphorylation [GO:0001932]; regulation of translational initiation [GO:0006446]; response to unfolded protein [GO:0006986]; response to virus [GO:0009615]; retina homeostasis [GO:0001895]; vascular endothelial growth factor receptor signaling pathway [GO:0048010]
CHOYP_LOC100371557.1.1|m.57537	449	10	30	0.883	0.883	2.3817	2.3817	0	0	0.5887	CHOYP_LOC100371557.1.1|m.57537	Q9VXK6	IF5_DROME	53.3	409	177	5	1	396	1	408	1.00E-149	441	1	Q9VXK6	IF5_DROME	reviewed	Eukaryotic translation initiation factor 5 (eIF-5)	eIF5 CG9177	Drosophila melanogaster (Fruit fly)	464	neurogenesis [GO:0022008]; translational initiation [GO:0006413]	GO:0003743; GO:0005525; GO:0005829; GO:0006413; GO:0022008				PF01873;PF02020;	cytosol [GO:0005829]; GTP binding [GO:0005525]; translation initiation factor activity [GO:0003743]; neurogenesis [GO:0022008]; translational initiation [GO:0006413]
CHOYP_LOC100367237.1.2|m.43812	3604	1	12	2.355	2.355	2.3661	2.3661	0	0	0.588797	CHOYP_LOC100367237.1.2|m.43812	Q9HCK4	ROBO2_HUMAN	25.25	887	523	37	1027	1879	41	821	1.00E-41	173	1	Q9HCK4	ROBO2_HUMAN	reviewed	Roundabout homolog 2	ROBO2 KIAA1568	Homo sapiens (Human)	1378	apoptotic process involved in luteolysis [GO:0061364]; axon guidance [GO:0007411]; axon midline choice point recognition [GO:0016199]; brain development [GO:0007420]; cellular response to hormone stimulus [GO:0032870]; central nervous system development [GO:0007417]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; metanephros development [GO:0001656]; negative regulation of negative chemotaxis [GO:0050925]; negative regulation of synapse assembly [GO:0051964]; olfactory bulb interneuron development [GO:0021891]; positive regulation of axonogenesis [GO:0050772]; retinal ganglion cell axon guidance [GO:0031290]; Roundabout signaling pathway [GO:0035385]; spinal cord development [GO:0021510]; ureteric bud development [GO:0001657]	GO:0001656; GO:0001657; GO:0007156; GO:0007411; GO:0007417; GO:0007420; GO:0008046; GO:0009986; GO:0016021; GO:0016199; GO:0021510; GO:0021891; GO:0030673; GO:0031290; GO:0032870; GO:0035385; GO:0042802; GO:0050772; GO:0050925; GO:0051964; GO:0061364; GO:0070062			cd00063;	PF00041;PF07679;	axolemma [GO:0030673]; cell surface [GO:0009986]; extracellular exosome [GO:0070062]; integral component of membrane [GO:0016021]; axon guidance receptor activity [GO:0008046]; identical protein binding [GO:0042802]; apoptotic process involved in luteolysis [GO:0061364]; axon guidance [GO:0007411]; axon midline choice point recognition [GO:0016199]; brain development [GO:0007420]; cellular response to hormone stimulus [GO:0032870]; central nervous system development [GO:0007417]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; metanephros development [GO:0001656]; negative regulation of negative chemotaxis [GO:0050925]; negative regulation of synapse assembly [GO:0051964]; olfactory bulb interneuron development [GO:0021891]; positive regulation of axonogenesis [GO:0050772]; retinal ganglion cell axon guidance [GO:0031290]; Roundabout signaling pathway [GO:0035385]; spinal cord development [GO:0021510]; ureteric bud development [GO:0001657]
CHOYP_PHUM_PHUM226120.5.7|m.43551	17537	65	118	0.377	0.377	2.3653	2.3653	0	0	0.588802	CHOYP_PHUM_PHUM226120.5.7|m.43551	A2ASS6	TITIN_MOUSE	29.61	4701	2877	132	10714	15246	25708	30144	0	1600	1	A2ASS6	TITIN_MOUSE	reviewed	Titin (EC 2.7.11.1) (Connectin)	Ttn	Mus musculus (Mouse)	35213	actin filament organization [GO:0007015]; adult heart development [GO:0007512]; cardiac muscle contraction [GO:0060048]; cardiac muscle fiber development [GO:0048739]; cardiac muscle hypertrophy [GO:0003300]; cardiac muscle tissue morphogenesis [GO:0055008]; cardiac myofibril assembly [GO:0055003]; detection of muscle stretch [GO:0035995]; forward locomotion [GO:0043056]; heart development [GO:0007507]; heart growth [GO:0060419]; heart morphogenesis [GO:0003007]; in utero embryonic development [GO:0001701]; muscle contraction [GO:0006936]; regulation of catalytic activity [GO:0050790]; regulation of protein kinase activity [GO:0045859]; regulation of relaxation of cardiac muscle [GO:1901897]; response to calcium ion [GO:0051592]; sarcomere organization [GO:0045214]; sarcomerogenesis [GO:0048769]; skeletal muscle myosin thick filament assembly [GO:0030241]; skeletal muscle thin filament assembly [GO:0030240]; somitogenesis [GO:0001756]; striated muscle cell development [GO:0055002]; striated muscle contraction [GO:0006941]; striated muscle myosin thick filament assembly [GO:0071688]; ventricular system development [GO:0021591]	GO:0000794; GO:0001701; GO:0001756; GO:0002020; GO:0003007; GO:0003300; GO:0004674; GO:0004713; GO:0005200; GO:0005509; GO:0005516; GO:0005524; GO:0005859; GO:0005865; GO:0006936; GO:0006941; GO:0007015; GO:0007507; GO:0007512; GO:0008307; GO:0019899; GO:0019901; GO:0021591; GO:0030017; GO:0030018; GO:0030240; GO:0030241; GO:0030506; GO:0031430; GO:0031433; GO:0031672; GO:0031674; GO:0035995; GO:0042802; GO:0042805; GO:0043056; GO:0043621; GO:0045214; GO:0045859; GO:0048739; GO:0048769; GO:0050790; GO:0051015; GO:0051371; GO:0051592; GO:0055002; GO:0055003; GO:0055008; GO:0060048; GO:0060419; GO:0070062; GO:0071688; GO:0097493; GO:1901897			cd00063;	PF00041;PF07679;PF00069;PF02818;PF09042;	A band [GO:0031672]; condensed nuclear chromosome [GO:0000794]; extracellular exosome [GO:0070062]; I band [GO:0031674]; M band [GO:0031430]; muscle myosin complex [GO:0005859]; sarcomere [GO:0030017]; striated muscle thin filament [GO:0005865]; Z disc [GO:0030018]; actin filament binding [GO:0051015]; actinin binding [GO:0042805]; ankyrin binding [GO:0030506]; ATP binding [GO:0005524]; calcium ion binding [GO:0005509]; calmodulin binding [GO:0005516]; enzyme binding [GO:0019899]; identical protein binding [GO:0042802]; muscle alpha-actinin binding [GO:0051371]; protease binding [GO:0002020]; protein kinase binding [GO:0019901]; protein self-association [GO:0043621]; protein serine/threonine kinase activity [GO:0004674]; protein tyrosine kinase activity [GO:0004713]; structural constituent of cytoskeleton [GO:0005200]; structural constituent of muscle [GO:0008307]; structural molecule activity conferring elasticity [GO:0097493]; telethonin binding [GO:0031433]; actin filament organization [GO:0007015]; adult heart development [GO:0007512]; cardiac muscle contraction [GO:0060048]; cardiac muscle fiber development [GO:0048739]; cardiac muscle hypertrophy [GO:0003300]; cardiac muscle tissue morphogenesis [GO:0055008]; cardiac myofibril assembly [GO:0055003]; detection of muscle stretch [GO:0035995]; forward locomotion [GO:0043056]; heart development [GO:0007507]; heart growth [GO:0060419]; heart morphogenesis [GO:0003007]; in utero embryonic development [GO:0001701]; muscle contraction [GO:0006936]; regulation of catalytic activity [GO:0050790]; regulation of protein kinase activity [GO:0045859]; regulation of relaxation of cardiac muscle [GO:1901897]; response to calcium ion [GO:0051592]; sarcomere organization [GO:0045214]; sarcomerogenesis [GO:0048769]; skeletal muscle myosin thick filament assembly [GO:0030241]; skeletal muscle thin filament assembly [GO:0030240]; somitogenesis [GO:0001756]; striated muscle cell development [GO:0055002]; striated muscle contraction [GO:0006941]; striated muscle myosin thick filament assembly [GO:0071688]; ventricular system development [GO:0021591]
CHOYP_HMCN1.23.44|m.42684	6167	112	187	0.289	0.289	2.3633	2.3633	0	0	0.588815	CHOYP_HMCN1.23.44|m.42684	A2AAJ9	OBSCN_MOUSE	21.8	1697	1028	71	4110	5740	3547	5010	1.00E-49	202	1	A2AAJ9	OBSCN_MOUSE	reviewed	Obscurin (EC 2.7.11.1) (Obscurin-RhoGEF) (Obscurin-myosin light chain kinase) (Obscurin-MLCK)	Obscn Gm878	Mus musculus (Mouse)	8891	cell differentiation [GO:0030154]; multicellular organism development [GO:0007275]; protein autophosphorylation [GO:0046777]; regulation of Rho protein signal transduction [GO:0035023]	GO:0004674; GO:0005089; GO:0005524; GO:0005576; GO:0005829; GO:0005863; GO:0005886; GO:0007275; GO:0014704; GO:0016604; GO:0030018; GO:0030154; GO:0030506; GO:0031430; GO:0031432; GO:0035023; GO:0042383; GO:0046777; GO:0046872			cd00063;	PF00041;PF07679;PF00612;PF00069;PF00621;	cytosol [GO:0005829]; extracellular region [GO:0005576]; intercalated disc [GO:0014704]; M band [GO:0031430]; nuclear body [GO:0016604]; plasma membrane [GO:0005886]; sarcolemma [GO:0042383]; striated muscle myosin thick filament [GO:0005863]; Z disc [GO:0030018]; ankyrin binding [GO:0030506]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; protein serine/threonine kinase activity [GO:0004674]; Rho guanyl-nucleotide exchange factor activity [GO:0005089]; titin binding [GO:0031432]; cell differentiation [GO:0030154]; multicellular organism development [GO:0007275]; protein autophosphorylation [GO:0046777]; regulation of Rho protein signal transduction [GO:0035023]
CHOYP_PHUM_PHUM596940.1.1|m.2151	821	6	21	1.089	1.089	2.3388	2.3388	0	0	0.588979	CHOYP_PHUM_PHUM596940.1.1|m.2151	Q91YE8	SYNP2_MOUSE	48.28	87	43	1	1	85	1	87	2.00E-17	90.9	1	Q91YE8	SYNP2_MOUSE	reviewed	Synaptopodin-2 (Myopodin)	Synpo2	Mus musculus (Mouse)	1087	positive regulation of actin filament bundle assembly [GO:0032233]	GO:0003779; GO:0005634; GO:0005829; GO:0005925; GO:0015629; GO:0030018; GO:0032233; GO:0043231; GO:0051371; GO:0071889				PF00595;	actin cytoskeleton [GO:0015629]; cytosol [GO:0005829]; focal adhesion [GO:0005925]; intracellular membrane-bounded organelle [GO:0043231]; nucleus [GO:0005634]; Z disc [GO:0030018]; 14-3-3 protein binding [GO:0071889]; actin binding [GO:0003779]; muscle alpha-actinin binding [GO:0051371]; positive regulation of actin filament bundle assembly [GO:0032233]
CHOYP_LOC100888608.1.3|m.5445	255	4	18	1.288	1.288	2.3148	2.3148	0	0	0.589154																												
CHOYP_BRAFLDRAFT_127065.2.7|m.5835	330	1	10	2.385	2.385	2.3115	2.3115	0	0	0.589179	CHOYP_BRAFLDRAFT_127065.2.7|m.5835	Q8CFM6	STAB2_RAT	27.21	305	159	13	52	326	477	748	5.00E-14	76.6	1	Q8CFM6	STAB2_RAT	reviewed	"Stabilin-2 (Fasciclin, EGF-like, laminin-type EGF-like and link domain-containing scavenger receptor 2) (FEEL-2) (Hyaluronan receptor for endocytosis) [Cleaved into: 175 kDa stabilin-2 (175 kDa hyaluronan receptor for endocytosis)] (Fragment)"	Stab2 Feel2 Hare	Rattus norvegicus (Rat)	1431	cell adhesion [GO:0007155]; endocytosis [GO:0006897]	GO:0005509; GO:0005540; GO:0005737; GO:0006897; GO:0007155; GO:0009897; GO:0016021				PF12947;PF02469;PF00193;	cytoplasm [GO:0005737]; external side of plasma membrane [GO:0009897]; integral component of membrane [GO:0016021]; calcium ion binding [GO:0005509]; hyaluronic acid binding [GO:0005540]; cell adhesion [GO:0007155]; endocytosis [GO:0006897]
CHOYP_LOC764565.1.1|m.3966	278	0	12	2.501	2.501	2.296	2.296	0	0	0.589301	CHOYP_LOC764565.1.1|m.3966	Q9GKX2	DHRS4_RABIT	54.17	264	112	3	19	277	1	260	2.00E-97	293	1	Q9GKX2	DHRS4_RABIT	reviewed	Dehydrogenase/reductase SDR family member 4 (EC 1.1.1.184) (NADPH-dependent carbonyl reductase/NADP-retinol dehydrogenase) (CR) (PHCR) (NADPH-dependent retinol dehydrogenase/reductase) (NDRD) (Peroxisomal short-chain alcohol dehydrogenase) (PSCD) (rabNRDR) (Fragment)	DHRS4	Oryctolagus cuniculus (Rabbit)	260		GO:0004090; GO:0005739; GO:0005777					mitochondrion [GO:0005739]; peroxisome [GO:0005777]; carbonyl reductase (NADPH) activity [GO:0004090]
CHOYP_LOC100867628.1.1|m.1331	592	12	33	0.755	0.755	2.2957	2.2957	0	0	0.589303																												
CHOYP_LOC100371983.2.3|m.48879	320	3	15	1.534	1.534	2.2748	2.2748	0	0	0.589477	CHOYP_LOC100371983.2.3|m.48879	P9WK87	NLHH_MYCTU	33.88	245	149	6	60	295	54	294	4.00E-32	126	1	P9WK87	NLHH_MYCTU	reviewed	Carboxylesterase NlhH (EC 3.1.1.1)	nlhH lipH Rv1399c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	319	catabolic process [GO:0009056]	GO:0009056; GO:0034338				PF07859;	short-chain carboxylesterase activity [GO:0034338]; catabolic process [GO:0009056]
CHOYP_HNRPR.1.2|m.44125	629	76	133	0.326	0.326	2.2699	2.2699	0	0	0.58952	CHOYP_HNRPR.1.2|m.44125	Q7TMK9	HNRPQ_MOUSE	48.81	629	269	17	22	627	24	622	2.00E-174	517	1	Q7TMK9	HNRPQ_MOUSE	reviewed	"Heterogeneous nuclear ribonucleoprotein Q (hnRNP Q) (Glycine- and tyrosine-rich RNA-binding protein) (GRY-RBP) (NS1-associated protein 1) (Synaptotagmin-binding, cytoplasmic RNA-interacting protein) (pp68)"	Syncrip Hnrpq Nsap1 Nsap1l	Mus musculus (Mouse)	623	cellular response to interferon-gamma [GO:0071346]; CRD-mediated mRNA stabilization [GO:0070934]; mRNA processing [GO:0006397]; negative regulation of translation [GO:0017148]; osteoblast differentiation [GO:0001649]; RNA splicing [GO:0008380]	GO:0000166; GO:0001649; GO:0003723; GO:0005654; GO:0005737; GO:0005783; GO:0006397; GO:0008143; GO:0008380; GO:0016020; GO:0017148; GO:0030529; GO:0070934; GO:0070937; GO:0071013; GO:0071204; GO:0071346; GO:0097452				PF00076;	catalytic step 2 spliceosome [GO:0071013]; CRD-mediated mRNA stability complex [GO:0070937]; cytoplasm [GO:0005737]; endoplasmic reticulum [GO:0005783]; GAIT complex [GO:0097452]; histone pre-mRNA 3'end processing complex [GO:0071204]; intracellular ribonucleoprotein complex [GO:0030529]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; nucleotide binding [GO:0000166]; poly(A) binding [GO:0008143]; RNA binding [GO:0003723]; cellular response to interferon-gamma [GO:0071346]; CRD-mediated mRNA stabilization [GO:0070934]; mRNA processing [GO:0006397]; negative regulation of translation [GO:0017148]; osteoblast differentiation [GO:0001649]; RNA splicing [GO:0008380]
CHOYP_LOC100185549.1.6|m.31232	174	5	19	1.123	1.123	2.2541	2.2541	0	0	0.589662	CHOYP_LOC100185549.1.6|m.31232	P42297	YXIE_BACSU	27.59	145	97	2	32	169	5	148	3.00E-11	62	1	P42297	YXIE_BACSU	reviewed	Universal stress protein YxiE (USP YxiE)	yxiE BSU39250 N17E	Bacillus subtilis (strain 168)	148	response to stress [GO:0006950]	GO:0006950				PF00582;	response to stress [GO:0006950]
CHOYP_BRAFLDRAFT_73486.1.1|m.16417	495	0	9	2.25	2.25	2.2437	2.2437	0	0	0.589759	CHOYP_BRAFLDRAFT_73486.1.1|m.16417	Q93099	HGD_HUMAN	70.64	436	121	4	8	437	1	435	0	656	1	Q93099	HGD_HUMAN	reviewed	"Homogentisate 1,2-dioxygenase (EC 1.13.11.5) (Homogentisate oxygenase) (Homogentisic acid oxidase) (Homogentisicase)"	HGD HGO	Homo sapiens (Human)	445	L-phenylalanine catabolic process [GO:0006559]; tyrosine catabolic process [GO:0006572]	GO:0004411; GO:0005829; GO:0006559; GO:0006572; GO:0042802; GO:0046872; GO:0070062	PATHWAY: Amino-acid degradation; L-phenylalanine degradation; acetoacetate and fumarate from L-phenylalanine: step 4/6.			PF04209;	"cytosol [GO:0005829]; extracellular exosome [GO:0070062]; homogentisate 1,2-dioxygenase activity [GO:0004411]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; L-phenylalanine catabolic process [GO:0006559]; tyrosine catabolic process [GO:0006572]"
CHOYP_LOC583890.1.1|m.14405	178	4	17	1.246	1.246	2.2402	2.2402	0	0	0.589793	CHOYP_LOC583890.1.1|m.14405	P12426	APT_DROME	56.25	176	77	0	2	177	7	182	7.00E-60	191	1	P12426	APT_DROME	reviewed	Adenine phosphoribosyltransferase (APRT) (EC 2.4.2.7)	Aprt CG18315	Drosophila melanogaster (Fruit fly)	182	adenine salvage [GO:0006168]; AMP salvage [GO:0044209]	GO:0003999; GO:0005737; GO:0006168; GO:0044209	PATHWAY: Purine metabolism; AMP biosynthesis via salvage pathway; AMP from adenine: step 1/1.		cd06223;	PF00156;	cytoplasm [GO:0005737]; adenine phosphoribosyltransferase activity [GO:0003999]; adenine salvage [GO:0006168]; AMP salvage [GO:0044209]
CHOYP_PLOD3.1.1|m.41788	788	1	10	2.455	2.455	2.2399	2.2399	0	0	0.589796	CHOYP_PLOD3.1.1|m.41788	Q5U367	PLOD3_RAT	50.73	684	327	7	29	707	40	718	0	740	1	Q5U367	PLOD3_RAT	reviewed	"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3 (EC 1.14.11.4) (Lysyl hydroxylase 3) (LH3)"	Plod3	Rattus norvegicus (Rat)	741	basement membrane assembly [GO:0070831]; cellular response to hormone stimulus [GO:0032870]; collagen fibril organization [GO:0030199]; endothelial cell morphogenesis [GO:0001886]; epidermis morphogenesis [GO:0048730]; in utero embryonic development [GO:0001701]; lung morphogenesis [GO:0060425]; neural tube development [GO:0021915]; protein localization [GO:0008104]; vasodilation [GO:0042311]	GO:0001701; GO:0001886; GO:0005506; GO:0008104; GO:0008475; GO:0021915; GO:0030199; GO:0030867; GO:0031418; GO:0032870; GO:0033823; GO:0042311; GO:0048730; GO:0060425; GO:0070062; GO:0070831					extracellular exosome [GO:0070062]; rough endoplasmic reticulum membrane [GO:0030867]; iron ion binding [GO:0005506]; L-ascorbic acid binding [GO:0031418]; procollagen glucosyltransferase activity [GO:0033823]; procollagen-lysine 5-dioxygenase activity [GO:0008475]; basement membrane assembly [GO:0070831]; cellular response to hormone stimulus [GO:0032870]; collagen fibril organization [GO:0030199]; endothelial cell morphogenesis [GO:0001886]; epidermis morphogenesis [GO:0048730]; in utero embryonic development [GO:0001701]; lung morphogenesis [GO:0060425]; neural tube development [GO:0021915]; protein localization [GO:0008104]; vasodilation [GO:0042311]
CHOYP_BRAFLDRAFT_284587.3.3|m.26954	392	9	26	0.877	0.877	2.2389	2.2389	0	0	0.589805	CHOYP_BRAFLDRAFT_284587.3.3|m.26954	Q5EA79	GALM_BOVIN	52.72	313	144	3	80	390	31	341	7.00E-112	338	1	Q5EA79	GALM_BOVIN	reviewed	Aldose 1-epimerase (EC 5.1.3.3) (Galactose mutarotase)	GALM	Bos taurus (Bovine)	342	galactose catabolic process via UDP-galactose [GO:0033499]; glucose metabolic process [GO:0006006]	GO:0004034; GO:0005737; GO:0006006; GO:0030246; GO:0033499; GO:0070062	PATHWAY: Carbohydrate metabolism; hexose metabolism.			PF01263;	cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; aldose 1-epimerase activity [GO:0004034]; carbohydrate binding [GO:0030246]; galactose catabolic process via UDP-galactose [GO:0033499]; glucose metabolic process [GO:0006006]
CHOYP_LOC100366455.1.3|m.13543	568	3	14	1.373	1.373	2.238	2.238	0	0	0.589814	CHOYP_LOC100366455.1.3|m.13543	Q8MI29	CBR1_MACFA	56.25	272	118	1	292	562	6	277	2.00E-104	322	1	Q8MI29	CBR1_MACFA	reviewed	Carbonyl reductase [NADPH] 1 (EC 1.1.1.184) (15-hydroxyprostaglandin dehydrogenase [NADP(+)]) (EC 1.1.1.197) (NADPH-dependent carbonyl reductase 1) (Prostaglandin 9-ketoreductase) (Prostaglandin-E(2) 9-reductase) (EC 1.1.1.189)	CBR1 PGDH2	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	277	drug metabolic process [GO:0017144]; vitamin K metabolic process [GO:0042373]	GO:0004090; GO:0005737; GO:0017144; GO:0042373; GO:0047021; GO:0050221				PF00106;	cytoplasm [GO:0005737]; 15-hydroxyprostaglandin dehydrogenase (NADP+) activity [GO:0047021]; carbonyl reductase (NADPH) activity [GO:0004090]; prostaglandin-E2 9-reductase activity [GO:0050221]; drug metabolic process [GO:0017144]; vitamin K metabolic process [GO:0042373]
CHOYP_LOC579681.1.1|m.25827	331	13	32	0.703	0.703	2.2337	2.2337	0	0	0.589856	CHOYP_LOC579681.1.1|m.25827	Q6IP50	UBX1A_XENLA	47.01	334	122	7	4	327	5	293	4.00E-76	242	1	Q6IP50	UBX1A_XENLA	reviewed	UBX domain-containing protein 1-A (SAPK substrate protein 1-A)	ubxn1-a saks1-a	Xenopus laevis (African clawed frog)	296		GO:0005737				PF00627;PF00789;	cytoplasm [GO:0005737]
CHOYP_UNC22.2.2|m.50516	6006	5	19	1.177	1.177	2.2277	2.2277	0	0	0.589915	CHOYP_UNC22.2.2|m.50516	G4SLH0	TTN1_CAEEL	30.96	1935	1121	50	1868	3699	15305	17127	0	833	1	G4SLH0	TTN1_CAEEL	reviewed	Titin homolog (EC 2.7.11.1)	ttn-1 W06H8.8	Caenorhabditis elegans	18562	actin filament organization [GO:0007015]; sarcomere organization [GO:0045214]; striated muscle contraction [GO:0006941]; striated muscle myosin thick filament assembly [GO:0071688]	GO:0004674; GO:0005524; GO:0005859; GO:0006941; GO:0007015; GO:0008307; GO:0030018; GO:0031430; GO:0031672; GO:0031674; GO:0031965; GO:0045214; GO:0046872; GO:0051015; GO:0051371; GO:0071688; GO:0097493			cd00063;	PF00041;PF07679;PF00069;	A band [GO:0031672]; I band [GO:0031674]; M band [GO:0031430]; muscle myosin complex [GO:0005859]; nuclear membrane [GO:0031965]; Z disc [GO:0030018]; actin filament binding [GO:0051015]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; muscle alpha-actinin binding [GO:0051371]; protein serine/threonine kinase activity [GO:0004674]; structural constituent of muscle [GO:0008307]; structural molecule activity conferring elasticity [GO:0097493]; actin filament organization [GO:0007015]; sarcomere organization [GO:0045214]; striated muscle contraction [GO:0006941]; striated muscle myosin thick filament assembly [GO:0071688]
CHOYP_BRAFLDRAFT_59647.1.1|m.25700	406	2	13	1.78	1.78	2.225	2.225	0	0	0.589942	CHOYP_BRAFLDRAFT_59647.1.1|m.25700	Q4QRK0	MAP11_DANRE	68.89	389	109	3	26	405	1	386	0	565	1	Q4QRK0	MAP11_DANRE	reviewed	Methionine aminopeptidase 1 (MAP 1) (MetAP 1) (EC 3.4.11.18) (Peptidase M 1)	metap1	Danio rerio (Zebrafish) (Brachydanio rerio)	386		GO:0004177; GO:0005737; GO:0008235; GO:0046872			cd01086;	PF00557;PF15801;	cytoplasm [GO:0005737]; aminopeptidase activity [GO:0004177]; metal ion binding [GO:0046872]; metalloexopeptidase activity [GO:0008235]
