Protein	Len	3	4	8	11	12	16	LogFoldChange	absolute value logfoldchange	Zstatistic	absolute value z statistic	fdr	FDRup	FDRdown																												
CHOYP_LOC100378430.1.1|m.63142	1230	36	54	25	20	21	12	-0.748	0.748	-4.3184	4.3184	0	0.543887	0	CHOYP_LOC100378430.1.1|m.63142	P21783	NOTC1_XENLA	39.26	377	192	19	700	1074	753	1094	1.00E-53	210	1	P21783	NOTC1_XENLA	reviewed	Neurogenic locus notch homolog protein 1 (Notch 1) (xOTCH) [Cleaved into: Notch 1 extracellular truncation (NEXT); Notch 1 intracellular domain (NICD)]	notch1 xotch	Xenopus laevis (African clawed frog)	2524	"angiogenesis [GO:0001525]; cell differentiation [GO:0030154]; cilium assembly [GO:0060271]; negative regulation of transcription from RNA polymerase II promoter [GO:0000122]; Notch signaling involved in heart development [GO:0061314]; regulation of developmental process [GO:0050793]; transcription, DNA-templated [GO:0006351]"	GO:0000122; GO:0001525; GO:0004872; GO:0005509; GO:0005654; GO:0005886; GO:0006351; GO:0016021; GO:0030154; GO:0050793; GO:0060271; GO:0061314				PF12796;PF11936;PF00008;PF07645;PF12661;PF06816;PF07684;PF00066;	"integral component of membrane [GO:0016021]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]; calcium ion binding [GO:0005509]; receptor activity [GO:0004872]; angiogenesis [GO:0001525]; cell differentiation [GO:0030154]; cilium assembly [GO:0060271]; negative regulation of transcription from RNA polymerase II promoter [GO:0000122]; Notch signaling involved in heart development [GO:0061314]; regulation of developmental process [GO:0050793]; transcription, DNA-templated [GO:0006351]"
CHOYP_contig_026696|m.30395	738	14	21	7	0	0	0	-2.746	2.746	-4.2374	4.2374	0	0.544029	0																												
CHOYP_ISCW_ISCW019177.4.4|m.63940	176	10	15	9	1	2	0	-2.204	2.204	-4.2029	4.2029	0	0.54409	0																												
CHOYP_LOC100370896.4.4|m.56380	1001	33	63	32	17	26	21	-0.643	0.643	-4.1947	4.1947	0	0.544105	0	CHOYP_LOC100370896.4.4|m.56380	Q54M77	ROCO8_DICDI	31.95	169	107	5	829	992	1689	1854	2.00E-20	101	1	Q54M77	ROCO8_DICDI	reviewed	Probable serine/threonine-protein kinase roco8 (EC 2.7.11.1) (Ras of complex proteins and C-terminal of roc 8)	roco8 DDB_G0286127	Dictyostelium discoideum (Slime mold)	1867	intracellular signal transduction [GO:0035556]; protein phosphorylation [GO:0006468]; small GTPase mediated signal transduction [GO:0007264]	GO:0004674; GO:0004871; GO:0005524; GO:0005525; GO:0005737; GO:0006468; GO:0007264; GO:0035556				PF16095;PF00610;PF13855;PF07714;PF08477;	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; GTP binding [GO:0005525]; protein serine/threonine kinase activity [GO:0004674]; signal transducer activity [GO:0004871]; intracellular signal transduction [GO:0035556]; protein phosphorylation [GO:0006468]; small GTPase mediated signal transduction [GO:0007264]
CHOYP_TEKT5.1.1|m.60031	318	19	42	16	9	12	8	-0.946	0.946	-4.1807	4.1807	0	0.54413	0	CHOYP_TEKT5.1.1|m.60031	P86230	TEKT3_MESAU	46.15	78	25	3	223	300	49	109	0.000000001	59.3	1	P86230	TEKT3_MESAU	reviewed	Tektin-3 (Fragments)	TEKT3	Mesocricetus auratus (Golden hamster)	109		GO:0005737; GO:0005874; GO:0005929					cilium [GO:0005929]; cytoplasm [GO:0005737]; microtubule [GO:0005874]
CHOYP_ATS16.2.4|m.14579	1497	11	16	12	3	3	1	-1.723	1.723	-4.0815	4.0815	0	0.544308	0	CHOYP_ATS16.2.4|m.14579	Q8TE57	ATS16_HUMAN	31.5	946	533	27	31	889	69	986	3.00E-120	413	1	Q8TE57	ATS16_HUMAN	reviewed	A disintegrin and metalloproteinase with thrombospondin motifs 16 (ADAM-TS 16) (ADAM-TS16) (ADAMTS-16) (EC 3.4.24.-)	ADAMTS16 KIAA2029	Homo sapiens (Human)	1224	branching involved in ureteric bud morphogenesis [GO:0001658]; regulation of cilium assembly [GO:1902017]; regulation of systemic arterial blood pressure [GO:0003073]	GO:0001658; GO:0003073; GO:0004222; GO:0005578; GO:0008270; GO:1902017				PF05986;PF01562;PF08686;PF01421;PF00090;	proteinaceous extracellular matrix [GO:0005578]; metalloendopeptidase activity [GO:0004222]; zinc ion binding [GO:0008270]; branching involved in ureteric bud morphogenesis [GO:0001658]; regulation of cilium assembly [GO:1902017]; regulation of systemic arterial blood pressure [GO:0003073]
CHOYP_APLP.2.2|m.55987	5390	50	55	35	32	22	22	-0.573	0.573	-4.0707	4.0707	0	0.544327	0	CHOYP_APLP.2.2|m.55987	Q9U943	APLP_LOCMI	30.04	1142	708	26	22	1106	9	1116	3.00E-130	468	1	Q9U943	APLP_LOCMI	reviewed	Apolipophorins [Cleaved into: Apolipophorin-2 (Apolipophorin II) (apoLp-2); Apolipophorin-1 (Apolipophorin I) (apoLp-1)]		Locusta migratoria (Migratory locust)	3380	Wnt signaling pathway [GO:0016055]	GO:0005319; GO:0005576; GO:0008289; GO:0016055				PF08742;PF06448;PF09172;PF01347;PF00094;	extracellular region [GO:0005576]; lipid binding [GO:0008289]; lipid transporter activity [GO:0005319]; Wnt signaling pathway [GO:0016055]
CHOYP_APLP.1.2|m.5955	5461	51	55	35	32	22	22	-0.583	0.583	-4.0426	4.0426	0	0.544378	0	CHOYP_APLP.1.2|m.5955	Q9U943	APLP_LOCMI	30.04	1142	708	26	5	1089	9	1116	4.00E-130	467	1	Q9U943	APLP_LOCMI	reviewed	Apolipophorins [Cleaved into: Apolipophorin-2 (Apolipophorin II) (apoLp-2); Apolipophorin-1 (Apolipophorin I) (apoLp-1)]		Locusta migratoria (Migratory locust)	3380	Wnt signaling pathway [GO:0016055]	GO:0005319; GO:0005576; GO:0008289; GO:0016055				PF08742;PF06448;PF09172;PF01347;PF00094;	extracellular region [GO:0005576]; lipid binding [GO:0008289]; lipid transporter activity [GO:0005319]; Wnt signaling pathway [GO:0016055]
CHOYP_PPIB.2.4|m.40019	246	14	39	11	7	11	6	-0.965	0.965	-3.9372	3.9372	0	0.544574	0	CHOYP_PPIB.2.4|m.40019	Q59641	PPIA_PSEAE	30.86	162	91	7	44	195	36	186	0.000000004	57.8	1	Q59641	PPIA_PSEAE	reviewed	Peptidyl-prolyl cis-trans isomerase A (PPIase A) (EC 5.2.1.8) (Cyclophilin A) (Rotamase A)	ppiA cypH PA3227	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)	187	protein folding [GO:0006457]	GO:0003755; GO:0006457; GO:0042597				PF00160;	periplasmic space [GO:0042597]; peptidyl-prolyl cis-trans isomerase activity [GO:0003755]; protein folding [GO:0006457]
CHOYP_LOC100374495.1.1|m.55368	213	21	62	21	17	20	17	-0.616	0.616	-3.8638	3.8638	0	0.544731	0	CHOYP_LOC100374495.1.1|m.55368	P80311	PPIB_BOVIN	50.25	203	90	3	1	203	24	215	6.00E-55	181	1	P80311	PPIB_BOVIN	reviewed	Peptidyl-prolyl cis-trans isomerase B (PPIase B) (EC 5.2.1.8) (Cyclophilin B) (Rotamase B) (S-cyclophilin) (SCYLP)	PPIB	Bos taurus (Bovine)	216	bone development [GO:0060348]; chaperone-mediated protein folding [GO:0061077]; positive regulation by host of viral genome replication [GO:0044829]; positive regulation of multicellular organism growth [GO:0040018]; protein peptidyl-prolyl isomerization [GO:0000413]; protein stabilization [GO:0050821]	GO:0000413; GO:0003723; GO:0003755; GO:0005634; GO:0005788; GO:0005925; GO:0016020; GO:0032403; GO:0032991; GO:0034663; GO:0040018; GO:0042470; GO:0044829; GO:0048471; GO:0050821; GO:0060348; GO:0061077; GO:0070062				PF00160;	endoplasmic reticulum chaperone complex [GO:0034663]; endoplasmic reticulum lumen [GO:0005788]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; macromolecular complex [GO:0032991]; melanosome [GO:0042470]; membrane [GO:0016020]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; peptidyl-prolyl cis-trans isomerase activity [GO:0003755]; protein complex binding [GO:0032403]; RNA binding [GO:0003723]; bone development [GO:0060348]; chaperone-mediated protein folding [GO:0061077]; positive regulation by host of viral genome replication [GO:0044829]; positive regulation of multicellular organism growth [GO:0040018]; protein peptidyl-prolyl isomerization [GO:0000413]; protein stabilization [GO:0050821]
CHOYP_CAN5.1.1|m.42243	504	32	41	21	13	26	7	-0.688	0.688	-3.8226	3.8226	0	0.544832	0	CHOYP_CAN5.1.1|m.42243	P80404	GABT_HUMAN	51.02	490	231	2	20	500	9	498	0	534	1	P80404	GABT_HUMAN	reviewed	"4-aminobutyrate aminotransferase, mitochondrial (EC 2.6.1.19) ((S)-3-amino-2-methylpropionate transaminase) (EC 2.6.1.22) (GABA aminotransferase) (GABA-AT) (Gamma-amino-N-butyrate transaminase) (GABA transaminase) (GABA-T) (L-AIBAT)"	ABAT GABAT	Homo sapiens (Human)	500	aging [GO:0007568]; behavioral response to cocaine [GO:0048148]; cerebellum development [GO:0021549]; copulation [GO:0007620]; exploration behavior [GO:0035640]; gamma-aminobutyric acid biosynthetic process [GO:0009449]; gamma-aminobutyric acid catabolic process [GO:0009450]; locomotory behavior [GO:0007626]; negative regulation of blood pressure [GO:0045776]; negative regulation of dopamine secretion [GO:0033602]; negative regulation of gamma-aminobutyric acid secretion [GO:0014053]; negative regulation of platelet aggregation [GO:0090331]; neurotransmitter catabolic process [GO:0042135]; positive regulation of aspartate secretion [GO:1904450]; positive regulation of dopamine metabolic process [GO:0045964]; positive regulation of heat generation [GO:0031652]; positive regulation of inhibitory postsynaptic potential [GO:0097151]; positive regulation of insulin secretion [GO:0032024]; positive regulation of prolactin secretion [GO:1902722]; positive regulation of uterine smooth muscle contraction [GO:0070474]; response to drug [GO:0042493]; response to ethanol [GO:0045471]; response to hypoxia [GO:0001666]; response to iron ion [GO:0010039]; response to nicotine [GO:0035094]	GO:0001666; GO:0003867; GO:0005739; GO:0005759; GO:0007568; GO:0007620; GO:0007626; GO:0009449; GO:0009450; GO:0010039; GO:0014053; GO:0021549; GO:0030170; GO:0031652; GO:0032024; GO:0032144; GO:0032145; GO:0033602; GO:0035094; GO:0035640; GO:0042135; GO:0042493; GO:0042803; GO:0043005; GO:0045471; GO:0045776; GO:0045964; GO:0046872; GO:0047298; GO:0048148; GO:0051536; GO:0070062; GO:0070474; GO:0090331; GO:0097151; GO:1902722; GO:1904450			cd00610;	PF00202;	4-aminobutyrate transaminase complex [GO:0032144]; extracellular exosome [GO:0070062]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; neuron projection [GO:0043005]; (S)-3-amino-2-methylpropionate transaminase activity [GO:0047298]; 4-aminobutyrate transaminase activity [GO:0003867]; iron-sulfur cluster binding [GO:0051536]; metal ion binding [GO:0046872]; protein homodimerization activity [GO:0042803]; pyridoxal phosphate binding [GO:0030170]; succinate-semialdehyde dehydrogenase binding [GO:0032145]; aging [GO:0007568]; behavioral response to cocaine [GO:0048148]; cerebellum development [GO:0021549]; copulation [GO:0007620]; exploration behavior [GO:0035640]; gamma-aminobutyric acid biosynthetic process [GO:0009449]; gamma-aminobutyric acid catabolic process [GO:0009450]; locomotory behavior [GO:0007626]; negative regulation of blood pressure [GO:0045776]; negative regulation of dopamine secretion [GO:0033602]; negative regulation of gamma-aminobutyric acid secretion [GO:0014053]; negative regulation of platelet aggregation [GO:0090331]; neurotransmitter catabolic process [GO:0042135]; positive regulation of aspartate secretion [GO:1904450]; positive regulation of dopamine metabolic process [GO:0045964]; positive regulation of heat generation [GO:0031652]; positive regulation of inhibitory postsynaptic potential [GO:0097151]; positive regulation of insulin secretion [GO:0032024]; positive regulation of prolactin secretion [GO:1902722]; positive regulation of uterine smooth muscle contraction [GO:0070474]; response to drug [GO:0042493]; response to ethanol [GO:0045471]; response to hypoxia [GO:0001666]; response to iron ion [GO:0010039]; response to nicotine [GO:0035094]
CHOYP_contig_007998|m.9259	295	13	21	9	5	6	0	-1.278	1.278	-3.8124	3.8124	0	0.544859	0																												
CHOYP_contig_025149|m.28635	198	6	35	4	5	6	1	-1.297	1.297	-3.7875	3.7875	0	0.544927	0																												
CHOYP_LOC100372505.2.2|m.26614	201	9	16	3	0	1	0	-2.353	2.353	-3.6939	3.6939	0	0.545225	0	CHOYP_LOC100372505.2.2|m.26614	P86854	PLCL_MYTGA	31.3	131	84	4	60	188	30	156	1.00E-13	69.7	1	P86854	PLCL_MYTGA	reviewed	Perlucin-like protein		Mytilus galloprovincialis (Mediterranean mussel)	156		GO:0005576; GO:0030246			cd03590;	PF00059;	extracellular region [GO:0005576]; carbohydrate binding [GO:0030246]
CHOYP_BRAFLDRAFT_246510.1.1|m.27433	157	7	14	3	0	1	0	-2.158	2.158	-3.6822	3.6822	0	0.545266	0																												
CHOYP_BRAFLDRAFT_129759.2.2|m.30082	191	8	16	4	0	1	0	-2.381	2.381	-3.6659	3.6659	0	0.545326	0	CHOYP_BRAFLDRAFT_129759.2.2|m.30082	P86854	PLCL_MYTGA	31.58	133	81	5	50	178	30	156	3.00E-13	68.2	1	P86854	PLCL_MYTGA	reviewed	Perlucin-like protein		Mytilus galloprovincialis (Mediterranean mussel)	156		GO:0005576; GO:0030246			cd03590;	PF00059;	extracellular region [GO:0005576]; carbohydrate binding [GO:0030246]
CHOYP_ARGI.1.2|m.3263	334	5	16	4	0	2	0	-1.898	1.898	-3.6533	3.6533	0	0.545373	0	CHOYP_ARGI.1.2|m.3263	P49900	ARGI_LITCT	54.92	315	140	2	7	320	7	320	5.00E-118	350	1	P49900	ARGI_LITCT	reviewed	"Arginase, hepatic (EC 3.5.3.1)"		Lithobates catesbeiana (American bullfrog) (Rana catesbeiana)	323	arginine metabolic process [GO:0006525]; urea cycle [GO:0000050]	GO:0000050; GO:0004053; GO:0006525; GO:0046872	PATHWAY: Nitrogen metabolism; urea cycle; L-ornithine and urea from L-arginine: step 1/1. {ECO:0000250|UniProtKB:P05089}.			PF00491;	arginase activity [GO:0004053]; metal ion binding [GO:0046872]; arginine metabolic process [GO:0006525]; urea cycle [GO:0000050]
CHOYP_LOC100375219.1.1|m.30268	428	22	33	19	14	12	7	-0.762	0.762	-3.6336	3.6336	0	0.545448	0	CHOYP_LOC100375219.1.1|m.30268	Q9H4K1	RIBC2_HUMAN	47.56	307	160	1	121	427	4	309	3.00E-81	259	1	Q9H4K1	RIBC2_HUMAN	reviewed	RIB43A-like with coiled-coils protein 2	RIBC2 C22orf11	Homo sapiens (Human)	309		GO:0005634				PF05914;	nucleus [GO:0005634]
CHOYP_TEKT5.1.1|m.60033	238	36	54	35	22	25	21	-0.573	0.573	-3.6137	3.6137	0	0.545526	0																												
CHOYP_UNC-89.1.2|m.1625	1828	13	30	5	4	8	5	-1.032	1.032	-3.6056	3.6056	0	0.545558	0	CHOYP_UNC-89.1.2|m.1625	Q4H3K6	FGFR_CIOIN	25.55	227	153	7	819	1043	57	269	0.00000001	63.9	1	Q4H3K6	FGFR_CIOIN	reviewed	Fibroblast growth factor receptor (Ci-FGFR) (EC 2.7.10.1)	FGFR	Ciona intestinalis (Transparent sea squirt) (Ascidia intestinalis)	747	positive regulation of cell proliferation [GO:0008284]	GO:0005007; GO:0005524; GO:0008284; GO:0016021				PF07679;PF07714;	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; fibroblast growth factor-activated receptor activity [GO:0005007]; positive regulation of cell proliferation [GO:0008284]
CHOYP_BRAFLDRAFT_106560.13.14|m.62781	363	12	14	11	6	4	1	-1.215	1.215	-3.5949	3.5949	0	0.545601	0																												
CHOYP_contig_025679|m.29295	335	9	16	8	4	3	0	-1.45	1.45	-3.5936	3.5936	0	0.545606	0																												
CHOYP_TMEM2.3.4|m.10491	1111	5	22	1	0	1	0	-2.335	2.335	-3.5876	3.5876	0	0.54563	0	CHOYP_TMEM2.3.4|m.10491	Q5FWI3	TMEM2_MOUSE	30.62	1153	632	42	25	1087	111	1185	9.00E-132	441	1	Q5FWI3	TMEM2_MOUSE	reviewed	Transmembrane protein 2	Tmem2 Kiaa1412	Mus musculus (Mouse)	1383	multicellular organism development [GO:0007275]	GO:0005913; GO:0007275; GO:0016021; GO:0070062; GO:0098641				PF10162;	cell-cell adherens junction [GO:0005913]; extracellular exosome [GO:0070062]; integral component of membrane [GO:0016021]; cadherin binding involved in cell-cell adhesion [GO:0098641]; multicellular organism development [GO:0007275]
CHOYP_CARNS1.4.6|m.40244	942	14	20	1	2	5	0	-1.505	1.505	-3.5736	3.5736	0	0.545687	0	CHOYP_CARNS1.4.6|m.40244	Q8KWT3	BACD_BACIU	26.94	245	148	5	597	826	120	348	9.00E-12	72	1	Q8KWT3	BACD_BACIU	reviewed	Alanine--anticapsin ligase (EC 6.3.2.49) (ATP-dependent dipeptide ligase) (Bacilysin synthetase) (L-Ala-L-amino acid dipeptide ligase) (L-alanine--L-anticapsin ligase) (L-amino acid ligase) (Lal)	bacD	Bacillus subtilis	472	antibiotic biosynthetic process [GO:0017000]	GO:0005524; GO:0016874; GO:0017000; GO:0046872	PATHWAY: Antibiotic biosynthesis; bacilysin biosynthesis. {ECO:0000305|PubMed:15609023}.				ATP binding [GO:0005524]; ligase activity [GO:0016874]; metal ion binding [GO:0046872]; antibiotic biosynthetic process [GO:0017000]
CHOYP_PHUM_PHUM596940.1.1|m.2151	821	18	41	17	7	19	9	-0.738	0.738	-3.5493	3.5493	0	0.545787	0	CHOYP_PHUM_PHUM596940.1.1|m.2151	Q91YE8	SYNP2_MOUSE	48.28	87	43	1	1	85	1	87	2.00E-17	90.9	1	Q91YE8	SYNP2_MOUSE	reviewed	Synaptopodin-2 (Myopodin)	Synpo2	Mus musculus (Mouse)	1087	positive regulation of actin filament bundle assembly [GO:0032233]	GO:0003779; GO:0005634; GO:0005829; GO:0005925; GO:0015629; GO:0030018; GO:0032233; GO:0043231; GO:0051371; GO:0071889				PF00595;	actin cytoskeleton [GO:0015629]; cytosol [GO:0005829]; focal adhesion [GO:0005925]; intracellular membrane-bounded organelle [GO:0043231]; nucleus [GO:0005634]; Z disc [GO:0030018]; 14-3-3 protein binding [GO:0071889]; actin binding [GO:0003779]; muscle alpha-actinin binding [GO:0051371]; positive regulation of actin filament bundle assembly [GO:0032233]
CHOYP_LOC101064693.1.2|m.30288	606	16	19	11	11	3	0	-1.101	1.101	-3.5437	3.5437	0	0.54581	0	CHOYP_LOC101064693.1.2|m.30288	A8TX70	CO6A5_HUMAN	27.01	585	392	15	28	605	437	993	9.00E-49	189	1	A8TX70	CO6A5_HUMAN	reviewed	Collagen alpha-5(VI) chain (Collagen alpha-1(XXIX) chain) (von Willebrand factor A domain-containing protein 4)	COL6A5 COL29A1 VWA4	Homo sapiens (Human)	2615	cell adhesion [GO:0007155]; collagen catabolic process [GO:0030574]	GO:0005576; GO:0005578; GO:0005581; GO:0007155; GO:0030574				PF01391;PF00092;	collagen trimer [GO:0005581]; extracellular region [GO:0005576]; proteinaceous extracellular matrix [GO:0005578]; cell adhesion [GO:0007155]; collagen catabolic process [GO:0030574]
CHOYP_LOC757096.1.1|m.9762	1528	8	30	6	2	5	6	-1.182	1.182	-3.5286	3.5286	0	0.545873	0	CHOYP_LOC757096.1.1|m.9762	Q5THR3	EFCB6_HUMAN	30.03	1522	988	21	29	1525	32	1501	0	682	1	Q5THR3	EFCB6_HUMAN	reviewed	EF-hand calcium-binding domain-containing protein 6 (CAP-binding protein complex-interacting protein 1) (DJ-1-binding protein) (DJBP)	EFCAB6 DJBP KIAA1672	Homo sapiens (Human)	1501	"regulation of transcription, DNA-templated [GO:0006355]; transcription, DNA-templated [GO:0006351]"	GO:0005509; GO:0005654; GO:0006351; GO:0006355				PF08976;PF13833;	"nucleoplasm [GO:0005654]; calcium ion binding [GO:0005509]; regulation of transcription, DNA-templated [GO:0006355]; transcription, DNA-templated [GO:0006351]"
CHOYP_LOC100548534.1.1|m.26484	819	6	17	0	0	0	0	-2.136	2.136	-3.4933	3.4933	0	0.546019	0	CHOYP_LOC100548534.1.1|m.26484	P42674	BP10_PARLI	29.22	397	253	13	173	558	70	449	8.00E-39	156	1	P42674	BP10_PARLI	reviewed	Blastula protease 10 (EC 3.4.24.-)	BP10	Paracentrotus lividus (Common sea urchin)	597		GO:0004222; GO:0005615; GO:0005938; GO:0008270; GO:0048471			cd00041;cd04280;	PF01400;PF00431;	cell cortex [GO:0005938]; extracellular space [GO:0005615]; perinuclear region of cytoplasm [GO:0048471]; metalloendopeptidase activity [GO:0004222]; zinc ion binding [GO:0008270]
CHOYP_contig_024582|m.27943	272	7	17	2	1	1	0	-2.243	2.243	-3.4927	3.4927	0	0.546022	0																												
CHOYP_TRIADDRAFT_32712.3.4|m.44104	151	9	18	3	3	3	1	-1.459	1.459	-3.4323	3.4323	0	0.546272	0																												
CHOYP_AKD1.2.3|m.49697	1906	18	58	19	11	21	19	-0.595	0.595	-3.4092	3.4092	0	0.546367	0	CHOYP_AKD1.2.3|m.49697	Q31DX5	KAD_THICR	23.11	251	151	6	77	324	3	214	4.00E-14	78.2	1	Q31DX5	KAD_THICR	reviewed	Adenylate kinase (AK) (EC 2.7.4.3) (ATP-AMP transphosphorylase) (ATP:AMP phosphotransferase) (Adenylate monophosphate kinase)	adk Tcr_2058	Thiomicrospira crunogena (strain XCL-2)	215	AMP salvage [GO:0044209]	GO:0004017; GO:0005524; GO:0005737; GO:0044209	PATHWAY: Purine metabolism; AMP biosynthesis via salvage pathway; AMP from ADP: step 1/1. {ECO:0000255|HAMAP-Rule:MF_00235}.		cd01428;	PF05191;	cytoplasm [GO:0005737]; adenylate kinase activity [GO:0004017]; ATP binding [GO:0005524]; AMP salvage [GO:0044209]
CHOYP_contig_048973|m.58107	272	7	17	6	1	4	0	-1.642	1.642	-3.4015	3.4015	0	0.546399	0																												
CHOYP_TVAG_355490.16.22|m.50235	967	42	39	28	26	23	15	-0.501	0.501	-3.3724	3.3724	0	0.546518	0																												
CHOYP_LOC100369839.2.4|m.27857	445	3	21	2	0	1	0	-2.286	2.286	-3.3655	3.3655	0	0.546547	0																												
CHOYP_LOC754355.1.1|m.66745	139	4	16	5	3	0	1	-1.633	1.633	-3.3444	3.3444	0	0.546633	0	CHOYP_LOC754355.1.1|m.66745	A8SMG2	TEX43_BOVIN	27.07	133	91	2	1	130	1	130	0.00000002	52.8	1	A8SMG2	TEX43_BOVIN	reviewed	Testis-expressed protein 43	TEX43	Bos taurus (Bovine)	133						PF14983;	
CHOYP_LOC100373287.1.1|m.36226	347	16	19	14	3	11	6	-0.871	0.871	-3.3005	3.3005	0	0.546816	0	CHOYP_LOC100373287.1.1|m.36226	Q96DI7	SNR40_HUMAN	69.03	352	100	2	4	346	6	357	0	537	1	Q96DI7	SNR40_HUMAN	reviewed	U5 small nuclear ribonucleoprotein 40 kDa protein (U5 snRNP 40 kDa protein) (U5-40K) (38 kDa-splicing factor) (Prp8-binding protein) (hPRP8BP) (U5 snRNP-specific 40 kDa protein) (WD repeat-containing protein 57)	SNRNP40 PRP8BP SFP38 WDR57	Homo sapiens (Human)	357	"mRNA splicing, via spliceosome [GO:0000398]; RNA processing [GO:0006396]; RNA splicing [GO:0008380]; RNA splicing, via transesterification reactions [GO:0000375]"	GO:0000375; GO:0000398; GO:0003723; GO:0005654; GO:0005682; GO:0005732; GO:0005829; GO:0006396; GO:0008380; GO:0016607; GO:0071011; GO:0071013				PF00400;	"catalytic step 2 spliceosome [GO:0071013]; cytosol [GO:0005829]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; precatalytic spliceosome [GO:0071011]; small nucleolar ribonucleoprotein complex [GO:0005732]; U5 snRNP [GO:0005682]; RNA binding [GO:0003723]; mRNA splicing, via spliceosome [GO:0000398]; RNA processing [GO:0006396]; RNA splicing [GO:0008380]; RNA splicing, via transesterification reactions [GO:0000375]"
CHOYP_VOLCADRAFT_89567.1.1|m.27272	210	11	19	8	4	6	1	-1.222	1.222	-3.2775	3.2775	0	0.546913	0	CHOYP_VOLCADRAFT_89567.1.1|m.27272	Q9Y5Z4	HEBP2_HUMAN	39.87	158	93	2	50	206	38	194	5.00E-27	107	1	Q9Y5Z4	HEBP2_HUMAN	reviewed	Heme-binding protein 2 (Placental protein 23) (PP23) (Protein SOUL)	HEBP2 C6orf34 SOUL	Homo sapiens (Human)	205	negative regulation of mitochondrial membrane potential [GO:0010917]; neutrophil degranulation [GO:0043312]; positive regulation of mitochondrial membrane permeability [GO:0035794]; positive regulation of necrotic cell death [GO:0010940]	GO:0005576; GO:0005737; GO:0005739; GO:0010917; GO:0010940; GO:0035578; GO:0035794; GO:0043312; GO:0070062				PF04832;	azurophil granule lumen [GO:0035578]; cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; mitochondrion [GO:0005739]; negative regulation of mitochondrial membrane potential [GO:0010917]; neutrophil degranulation [GO:0043312]; positive regulation of mitochondrial membrane permeability [GO:0035794]; positive regulation of necrotic cell death [GO:0010940]
CHOYP_contig_023655|m.26913	274	0	21	0	0	0	0	-2.123	2.123	-3.2678	3.2678	0	0.546954	0																												
CHOYP_contig_010181|m.11866	164	5	27	4	5	6	0	-1.076	1.076	-3.1835	3.1835	0	0.547332	0																												
CHOYP_LOC664138.1.1|m.26660	167	7	10	6	2	2	0	-1.556	1.556	-3.1831	3.1831	0	0.547334	0	CHOYP_LOC664138.1.1|m.26660	Q9VRN5	LIN28_DROME	60.32	126	50	0	11	136	39	164	6.00E-47	157	1	Q9VRN5	LIN28_DROME	reviewed	Protein lin-28 homolog	lin-28 CG17334	Drosophila melanogaster (Fruit fly)	195	"negative regulation of pre-miRNA processing [GO:2000632]; oogenesis [GO:0048477]; positive regulation of insulin receptor signaling pathway [GO:0046628]; positive regulation of stem cell proliferation [GO:2000648]; regulation of transcription, DNA-templated [GO:0006355]; symmetric stem cell division [GO:0098724]"	GO:0003677; GO:0003729; GO:0005737; GO:0006355; GO:0008270; GO:0046628; GO:0048477; GO:0098724; GO:2000632; GO:2000648			cd04458;	PF00313;	"cytoplasm [GO:0005737]; DNA binding [GO:0003677]; mRNA binding [GO:0003729]; zinc ion binding [GO:0008270]; negative regulation of pre-miRNA processing [GO:2000632]; oogenesis [GO:0048477]; positive regulation of insulin receptor signaling pathway [GO:0046628]; positive regulation of stem cell proliferation [GO:2000648]; regulation of transcription, DNA-templated [GO:0006355]; symmetric stem cell division [GO:0098724]"
CHOYP_AKD1.3.3|m.63103	1940	18	58	20	12	23	21	-0.526	0.526	-3.1679	3.1679	0	0.547407	0	CHOYP_AKD1.3.3|m.63103	P43188	KADC_MAIZE	22.09	249	147	5	69	317	3	204	3.00E-16	85.1	1	P43188	KADC_MAIZE	reviewed	"Adenylate kinase, chloroplastic (AK) (EC 2.7.4.3) (ATP-AMP transphosphorylase) (ATP:AMP phosphotransferase) (Adenylate monophosphate kinase)"	ADK1	Zea mays (Maize)	222		GO:0004017; GO:0005524; GO:0009507			cd01428;		chloroplast [GO:0009507]; adenylate kinase activity [GO:0004017]; ATP binding [GO:0005524]
CHOYP_LOC100179516.2.2|m.49937	209	5	12	5	1	2	0	-1.851	1.851	-3.1573	3.1573	0	0.547458	0	CHOYP_LOC100179516.2.2|m.49937	Q6IMH0	TEPP_MOUSE	40.74	189	93	4	30	203	31	215	1.00E-35	130	1	Q6IMH0	TEPP_MOUSE	reviewed	"Testis, prostate and placenta-expressed protein"	Tepp	Mus musculus (Mouse)	216							
CHOYP_MDN1.6.8|m.52635	425	15	19	12	5	6	7	-0.917	0.917	-3.1569	3.1569	0	0.54746	0																												
